
 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(C),
   6.60074E+02   9.33224E+02   3.00000E-03
   6.71206E+02   9.44356E+02   2.75000E-03
   6.82886E+02   9.56036E+02   2.50000E-03
   6.95281E+02   9.68431E+02   2.25000E-03
   7.08652E+02   9.81802E+02   2.00000E-03
   7.23450E+02   9.96600E+02   1.75000E-03
   7.40332E+02   1.01348E+03   1.50000E-03
   7.59287E+02   1.03244E+03   1.25000E-03
   7.80593E+02   1.05374E+03   1.00000E-03
   8.04718E+02   1.07787E+03   7.50000E-04
   8.32321E+02   1.10547E+03   5.00000E-04
   8.64309E+02   1.13746E+03   2.50000E-04
   9.02163E+02   1.17531E+03   2.50000E-10

 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(C),
   6.60074E+02   9.33224E+02   3.00000E-03
   6.49383E+02   9.22533E+02   3.25000E-03
   6.39055E+02   9.12205E+02   3.50000E-03
   6.29025E+02   9.02175E+02   3.75000E-03
   6.19251E+02   8.92401E+02   4.00000E-03
   6.09689E+02   8.82839E+02   4.25000E-03
   6.00317E+02   8.73467E+02   4.50000E-03
   5.91110E+02   8.64260E+02   4.75000E-03
   5.82045E+02   8.55195E+02   5.00000E-03
   5.73104E+02   8.46254E+02   5.25000E-03
   5.64278E+02   8.37428E+02   5.50000E-03
   5.55551E+02   8.28701E+02   5.75000E-03
   5.46913E+02   8.20063E+02   6.00000E-03
   5.38350E+02   8.11500E+02   6.25000E-03
   5.29861E+02   8.03011E+02   6.50000E-03
   5.21434E+02   7.94584E+02   6.75000E-03
   5.13062E+02   7.86212E+02   7.00000E-03
   5.04740E+02   7.77890E+02   7.25000E-03
   4.96464E+02   7.69614E+02   7.50000E-03
   4.88230E+02   7.61380E+02   7.75000E-03
   4.80028E+02   7.53178E+02   8.00000E-03
   4.71854E+02   7.45004E+02   8.25000E-03
   4.63710E+02   7.36860E+02   8.50000E-03
   4.55589E+02   7.28739E+02   8.75000E-03
   4.47488E+02   7.20638E+02   9.00000E-03
   4.39403E+02   7.12553E+02   9.25000E-03
   4.31329E+02   7.04479E+02   9.50000E-03
   4.23270E+02   6.96420E+02   9.75000E-03
   4.15217E+02   6.88367E+02   1.00000E-02
   4.07169E+02   6.80319E+02   1.02500E-02
   3.99123E+02   6.72273E+02   1.05000E-02
   3.91078E+02   6.64228E+02   1.07500E-02
   3.83033E+02   6.56183E+02   1.10000E-02
   3.74984E+02   6.48134E+02   1.12500E-02
   3.66928E+02   6.40078E+02   1.15000E-02
   3.58866E+02   6.32016E+02   1.17500E-02
   3.50793E+02   6.23943E+02   1.20000E-02
   3.42709E+02   6.15859E+02   1.22500E-02
   3.34610E+02   6.07760E+02   1.25000E-02
   3.26495E+02   5.99645E+02   1.27500E-02
   3.18361E+02   5.91511E+02   1.30000E-02
   3.10208E+02   5.83358E+02   1.32500E-02
   3.02035E+02   5.75185E+02   1.35000E-02
   2.93842E+02   5.66992E+02   1.37500E-02
   2.85619E+02   5.58769E+02   1.40000E-02
   2.77370E+02   5.50520E+02   1.42500E-02
   2.69095E+02   5.42245E+02   1.45000E-02
   2.60788E+02   5.33938E+02   1.47500E-02
   2.52448E+02   5.25598E+02   1.50000E-02
   2.44071E+02   5.17221E+02   1.52500E-02
   2.35662E+02   5.08812E+02   1.55000E-02
   2.27215E+02   5.00365E+02   1.57500E-02
   2.18726E+02   4.91876E+02   1.60000E-02
   2.10195E+02   4.83345E+02   1.62500E-02
   2.01621E+02   4.74771E+02   1.65000E-02
   1.93000E+02   4.66150E+02   1.67500E-02
   1.84330E+02   4.57480E+02   1.70000E-02
   1.75609E+02   4.48759E+02   1.72500E-02
   1.66832E+02   4.39982E+02   1.75000E-02
   1.58003E+02   4.31153E+02   1.77500E-02
   1.49117E+02   4.22267E+02   1.80000E-02
   1.40168E+02   4.13318E+02   1.82500E-02
   1.31154E+02   4.04304E+02   1.85000E-02
   1.22073E+02   3.95223E+02   1.87500E-02
   1.12926E+02   3.86076E+02   1.90000E-02
   1.03702E+02   3.76852E+02   1.92500E-02
   9.44031E+01   3.67553E+02   1.95000E-02
   8.50241E+01   3.58174E+02   1.97500E-02
   7.55640E+01   3.48714E+02   2.00000E-02
   6.60137E+01   3.39164E+02   2.02500E-02
   5.63724E+01   3.29522E+02   2.05000E-02
   4.66302E+01   3.19780E+02   2.07500E-02
   3.67889E+01   3.09939E+02   2.10000E-02
   2.69475E+01   3.00097E+02   3.00000E-02
