W(C)	 T
.03	300.0975
.021	309.9389
.02075	319.7802
.0205	329.5224
.02025	339.1637
.02	348.714
.01975	358.1741
.0195	367.5532
.01925	376.8518
.019	386.076
.01875	395.2226
.0185	404.3044
.01825	413.3175
.018	422.2669
.01775	431.1528
.0175	439.9823
.01725	448.7593
.017	457.4805
.01675	466.1498
.0165	474.7711
.01625	483.3446
.016	491.8758
.01575	500.3648
.0155	508.812
.01525	517.2213
.015	525.5975
.01475	533.9376
.0145	542.2449
.01425	550.5197
.014	558.7694
.01375	566.9915
.0135	575.1847
.01325	583.3578
.013	591.5113
.01275	599.6453
.0125	607.7598
.01225	615.8594
.012	623.9427
.01175	632.0157
.0115	640.0784
.01125	648.1342
.011	656.183
.01075	664.2282
.0105	672.2734
.01025	680.3186
.01	688.3674
.00975	696.4199
.0095	704.4793
.00925	712.553
.009	720.6384
.00875	728.7393
.0085	736.8598
.00825	745.0043
.008	753.1776
.00775	761.3798
.0075	769.6145
.00725	777.8902
.007	786.2123
.00675	794.5845
.0065	803.0105
.00625	811.4999
.006	820.0634
.00575	828.7015
.0055	837.4284
.00525	846.2543
.005	855.1946
.00475	864.2601
.0045	873.467
.00425	882.8389
.004	892.4014
.00375	902.1748
.0035	912.205
.00325	922.5326
.003	933.2239
.003	933.2239
.00275	944.3559
.0025	956.0364
.00225	968.4308
.002	981.8021
.00175	996.6003
.0015	1013.482
.00125	1032.437
.001	1053.743
7.5E-04	1077.868
5E-04	1105.471
2.5E-04	1137.459
2.5E-10	1175.313
