W(MN)	 HM(FCC_A1#1)
.19999	13575.66
.1991213	13582.55
.1981213	13590.49
.1971213	13598.44
.1961213	13606.41
.1951213	13614.39
.1941213	13622.39
.1931213	13630.39
.1921213	13638.41
.1911213	13646.44
.1901213	13654.49
.1891213	13662.55
.1881213	13670.62
.1871213	13678.7
.1861213	13686.8
.1851213	13694.9
.1841213	13703.03
.1831213	13711.16
.1821213	13719.31
.1811213	13727.47
.1801213	13735.64
.1791213	13743.82
.1781213	13752.02
.1771213	13760.23
.1761213	13768.45
.1751213	13776.69
.1741213	13784.93
.1731213	13793.19
.1721213	13801.47
.1711213	13809.75
.1701213	13818.05
.1691213	13826.36
.1681213	13834.68
.1671213	13843.02
.1661213	13851.37
.1651213	13859.73
.1641213	13868.1
.1631213	13876.49
.1621213	13884.88
.1611213	13893.29
.1601213	13901.72
.1591213	13910.15
.1581213	13918.6
.1571213	13927.06
.1561213	13935.53
.1551213	13944.02
.1541213	13952.52
.1531213	13961.03
.1521213	13969.55
.1511213	13978.09
.1501213	13986.64
.1491213	13995.2
.1481213	14003.77
.1471213	14012.36
.1461213	14020.95
.1451213	14029.57
.1441213	14038.19
.1431213	14046.83
.1421213	14055.48
.1411213	14064.14
.1401213	14072.81
.1391213	14081.5
.1381213	14090.2
.1371213	14098.91
.1361213	14107.64
.1351213	14116.37
.1341213	14125.13
.1331213	14133.89
.1321213	14142.67
.1311213	14151.45
.1301213	14160.26
.1291213	14169.07
.1281213	14177.9
.1271213	14186.74
.1261213	14195.6
.1251213	14204.46
.1241213	14213.34
.1231213	14222.23
.1221213	14231.14
.1211213	14240.06
.1201213	14248.99
.1191213	14257.93
.1181213	14266.89
.1171213	14275.86
.1161213	14284.85
.1151213	14293.84
.1141213	14302.86
.1131213	14311.88
.1121213	14320.92
.1111213	14329.97
.1101213	14339.03
.1091213	14348.11
.1081213	14357.2
.1071213	14366.3
.1061213	14375.42
.1051213	14384.55
.1041213	14393.7
.1031213	14402.85
.1021213	14412.03
.1011213	14421.21
.1001213	14430.41
.09912134	14439.62
.09812134	14448.85
.09712134	14458.09
.09612134	14467.35
.09512134	14476.62
.09412134	14485.9
.09312134	14495.2
.09212134	14504.51
.09112134	14513.83
.09012134	14523.17
.08912134	14532.52
.08812134	14541.89
.08712134	14551.27
.08612134	14560.67
.08512134	14570.08
.08412134	14579.5
.08312134	14588.94
.08212134	14598.39
.08112134	14607.86
.08012134	14617.34
.07912134	14626.84
.07812134	14636.35
.07712134	14645.88
.07612134	14655.42
.07512134	14664.97
.07412134	14674.54
.07312134	14684.13
.07212134	14693.73
.07112134	14703.34
.07012134	14712.97
.06912134	14722.62
.06812134	14732.28
.06712134	14741.95
.06612134	14751.65
.06512134	14761.35
.06412134	14771.07
.06312134	14780.81
.06212134	14790.56
.06112134	14800.33
.06012134	14810.11
.05912134	14819.91
.05812134	14829.72
.05712134	14839.55
.05612134	14849.4
.05512134	14859.26
.05412134	14869.14
.05312134	14879.03
.05212134	14888.94
.05112134	14898.86
.05012134	14908.8
.04912134	14918.76
.04812134	14928.73
.04712134	14938.72
.04612134	14948.72
.04512134	14958.74
.04412134	14968.78
.04312134	14978.83
.04212134	14988.9
.04112134	14998.99
.04012134	15009.09
.03912134	15019.21
.03812134	15029.34
.03712134	15039.5
.03612134	15049.66
.03512134	15059.85
.03412134	15070.05
.03312134	15080.27
.03212134	15090.5
.03112134	15100.76
.03012134	15111.02
.02912134	15121.31
.02812134	15131.61
.02712134	15141.93
.02612134	15152.27
.02512134	15162.62
.02412134	15172.99
.02312134	15183.38
.02212134	15193.78
.02112134	15204.21
.02012134	15214.65
.01912134	15225.1
.01812134	15235.58
.01712134	15246.07
.01612134	15256.57
.01512134	15267.1
.01412134	15277.64
.01312134	15288.21
.01212134	15298.78
.01112134	15309.38
.01012134	15319.99
.009121337	15330.62
.008121337	15341.27
.007121337	15351.94
.006121337	15362.62
.005121337	15373.32
.005121337	15373.32
.004121337	15384.04
.003121337	15394.78
.002121337	15405.53
.001121337	15416.3
1.213372E-04	15427.09
1.1E-04	15427.21
