T	 X(LAVES_PHASE_C14#2,AL)	X(LAVES_PHASE_C14#2,C)	X(LAVES_PHASE_C14#2,CR)	X(LAVES_PHASE_C14#2,FE)	X(LAVES_PHASE_C14#2,MN)	X(LAVES_PHASE_C14#2,MO)	X(LAVES_PHASE_C14#2,NB)	X(LAVES_PHASE_C14#2,NI)	X(LAVES_PHASE_C14#2,SI)	X(LAVES_PHASE_C14#2,W)
1090	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1080	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1070	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1060	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1050	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1040	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1031.373	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1031.373	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1030	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1020	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1010	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1000	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
990	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
980	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
970	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
960	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
950	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
940	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
930	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
920	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
910	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
900	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
890	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
880	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
870	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
860	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
850	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
840	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
830	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
820	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
810	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
800	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
790	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
780	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
770	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
760	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
750	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
740	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
730	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
720	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
710	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
700	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
690	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
680	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
670	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
660	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
650	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
640	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
630	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
620	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
610	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
602.6242	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
602.6242	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
602.6242	1.280223E-10	0	.5575428	.002779447	8.65636E-07	.2495896	1.688373E-04	8.781748E-05	.1062543	.08357634
600	7.504405E-04	0	.6085029	.01244001	.001430171	.3083328	.004328757	.007765186	.03652996	.0199198
590	1.280223E-10	0	.5575428	.002779447	8.65636E-07	.2495896	1.688373E-04	8.781748E-05	.1062543	.08357634
580	7.098451E-04	0	.6091694	.01225365	.001443823	.3085536	.004367406	.007676551	.03634993	.01947577
570	1.280223E-10	0	.5575428	.002779447	8.65636E-07	.2495896	1.688373E-04	8.781748E-05	.1062543	.08357634
560	6.683443E-04	0	.6098414	.01207468	.001456081	.3087271	.004407549	.007590751	.03617521	.01905895
550	1.280223E-10	0	.5575428	.002779447	8.65636E-07	.2495896	1.688373E-04	8.781748E-05	.1062543	.08357634
547.7445	2.369114E-10	0	.5571336	.003632461	1.097588E-06	.242721	1.801053E-04	1.119454E-04	.1057853	.09043449
547.7445	2.369114E-10	0	.5571336	.003632461	1.097588E-06	.242721	1.801053E-04	1.119454E-04	.1057853	.09043449
540	1.912412E-10	0	.5576413	.003463161	1.010512E-06	.2424085	1.768089E-04	1.033345E-04	.1054562	.09074965
530	1.442592E-10	0	.5582839	.003254516	9.058463E-07	.2419309	1.727896E-04	9.298356E-05	.1050333	.09123068
520	1.081355E-10	0	.5589119	.00305665	8.095303E-07	.2413675	1.690294E-04	8.345544E-05	.1046134	.09179725
510	8.052887E-11	0	.5595252	.002869092	7.211309E-07	.2407162	1.655199E-04	7.470507E-05	.104197	.09245167
500	5.956399E-11	0	.5601234	.002691393	6.402215E-07	.2399744	1.622533E-04	6.668838E-05	.1037849	.09319633
490	4.37471E-11	0	.5607062	.002523117	5.663827E-07	.2391398	1.592224E-04	5.936233E-05	.103378	.09403374
480	3.189529E-11	0	.5612734	.002363848	4.992027E-07	.2382096	1.564204E-04	5.268494E-05	.1029771	.0949665
470	2.307741E-11	0	.5618243	.002213181	4.382777E-07	.2371812	1.538406E-04	4.661536E-05	.1025831	.09599734
460	1.656513E-11	0	.5623583	.002070725	3.832119E-07	.2360517	1.514769E-04	4.111385E-05	.1021972	.09712913
450	1.179248E-11	0	.5628747	.001936104	3.336186E-07	.2348179	1.49323E-04	3.614189E-05	.1018206	.09836492
440	8.322704E-12	0	.5633723	.001808952	2.891199E-07	.2334767	1.473725E-04	3.166216E-05	.1014547	.09970811
430	5.821141E-12	0	.5638497	.001688918	2.493479E-07	.2320239	1.456184E-04	2.763863E-05	.1011014	.1011626
420	4.033296E-12	0	.564305	.001575665	2.139445E-07	.230455	1.44053E-04	2.40366E-05	.100763	.102733
410	2.84308E-12	0	.5647355	.001468878	1.825622E-07	.2287638	1.426662E-04	2.08227E-05	.1004425	.1044257
400	2.028467E-12	0	.5651374	.001368274	1.548646E-07	.2269412	1.414443E-04	1.796498E-05	.100144	.1062495
399.85	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
