T	 X(B2_VACANCY,AL)	X(B2_VACANCY,C)	X(B2_VACANCY,CR)	X(B2_VACANCY,FE)	X(B2_VACANCY,MN)	X(B2_VACANCY,MO)	X(B2_VACANCY,NB)	X(B2_VACANCY,NI)	X(B2_VACANCY,SI)	X(B2_VACANCY,W)
1499.85	.3757069	0	0	0	0	0	0	.6242931	0	0
1490	.3765733	0	0	0	0	0	0	.6234267	0	0
1480	.3774558	0	0	0	0	0	0	.6225442	0	0
1470	.3783413	0	0	0	0	0	0	.6216588	0	0
1460	.3792296	0	0	0	0	0	0	.6207704	0	0
1450	.3801212	0	0	0	0	0	0	.6198788	0	0
1440	.3810156	0	0	0	0	0	0	.6189845	0	0
1430	.3819128	0	0	0	0	0	0	.6180872	0	0
1425.01	.3823616	0	0	0	0	0	0	.6176384	0	0
1425.01	.3823616	0	0	0	0	0	0	.6176384	0	0
1420	.3830024	0	0	0	0	0	0	.6169977	0	0
1410	.3842546	0	0	0	0	0	0	.6157454	0	0
1400	.385352	0	0	0	0	0	0	.614648	0	0
1390	.3862735	0	0	0	0	0	0	.6137265	0	0
1380	.3870533	0	0	0	0	0	0	.6129467	0	0
1370	.3877322	0	0	0	0	0	0	.6122678	0	0
1360	.3883427	0	0	0	0	0	0	.6116573	0	0
1350	.3889074	0	0	0	0	0	0	.6110926	0	0
1344.364	.3892114	0	0	0	0	0	0	.6107886	0	0
1344.364	.3892114	0	0	0	0	0	0	.6107886	0	0
1340	.3890026	0	0	0	0	0	0	.6109974	0	0
1339.926	.3890009	0	0	0	0	0	0	.6109991	0	0
1339.926	.3890009	0	0	0	0	0	0	.6109991	0	0
1330	.3895146	0	0	0	0	0	0	.6104854	0	0
1320	.3900352	0	0	0	0	0	0	.6099648	0	0
1310	.3905588	0	0	0	0	0	0	.6094412	0	0
1300	.3910854	0	0	0	0	0	0	.6089146	0	0
1290	.3916149	0	0	0	0	0	0	.6083851	0	0
1280	.3921475	0	0	0	0	0	0	.6078525	0	0
1270	.3926831	0	0	0	0	0	0	.6073169	0	0
1260	.3932216	0	0	0	0	0	0	.6067784	0	0
1250	.3937631	0	0	0	0	0	0	.6062369	0	0
1240	.3943076	0	0	0	0	0	0	.6056924	0	0
1230	.394855	0	0	0	0	0	0	.605145	0	0
1220	.3954054	0	0	0	0	0	0	.6045946	0	0
1210	.3959587	0	0	0	0	0	0	.6040413	0	0
1200	.396515	0	0	0	0	0	0	.603485	0	0
1200	.396515	0	0	0	0	0	0	.603485	0	0
1190	.3970741	0	0	0	0	0	0	.6029259	0	0
1180	.3976362	0	0	0	0	0	0	.6023638	0	0
1170	.3982011	0	0	0	0	0	0	.6017989	0	0
1160	.3987689	0	0	0	0	0	0	.6012311	0	0
