T	 X(B2_VACANCY,AL)	X(B2_VACANCY,C)	X(B2_VACANCY,CR)	X(B2_VACANCY,FE)	X(B2_VACANCY,MN)	X(B2_VACANCY,MO)	X(B2_VACANCY,NB)	X(B2_VACANCY,NI)	X(B2_VACANCY,SI)	X(B2_VACANCY,W)
1150	.3993395	0	0	0	0	0	0	.6006605	0	0
1140	.399913	0	0	0	0	0	0	.600087	0	0
1130	.4004893	0	0	0	0	0	0	.5995107	0	0
1120	.4010684	0	0	0	0	0	0	.5989316	0	0
1110	.4016503	0	0	0	0	0	0	.5983497	0	0
1100	.4022349	0	0	0	0	0	0	.5977651	0	0
1090	.4028223	0	0	0	0	0	0	.5971777	0	0
1080	.4034125	0	0	0	0	0	0	.5965875	0	0
1070	.4040053	0	0	0	0	0	0	.5959947	0	0
1060	.4046008	0	0	0	0	0	0	.5953992	0	0
1050	.4051991	0	0	0	0	0	0	.5948009	0	0
1040	.4057999	0	0	0	0	0	0	.5942001	0	0
1031.373	.4063204	0	0	0	0	0	0	.5936796	0	0
1031.373	.4063204	0	0	0	0	0	0	.5936796	0	0
1030	.4063875	0	0	0	0	0	0	.5936125	0	0
1020	.4068789	0	0	0	0	0	0	.5931211	0	0
1010	.4073753	0	0	0	0	0	0	.5926247	0	0
1000	.4078767	0	0	0	0	0	0	.5921233	0	0
990	.4083829	0	0	0	0	0	0	.5916171	0	0
980	.4088941	0	0	0	0	0	0	.5911059	0	0
970	.4094102	0	0	0	0	0	0	.5905898	0	0
960	.4099312	0	0	0	0	0	0	.5900688	0	0
950	.410457	0	0	0	0	0	0	.589543	0	0
940	.4109877	0	0	0	0	0	0	.5890123	0	0
930	.4115231	0	0	0	0	0	0	.5884769	0	0
920	.4120633	0	0	0	0	0	0	.5879367	0	0
910	.4126083	0	0	0	0	0	0	.5873917	0	0
900	.413158	0	0	0	0	0	0	.586842	0	0
890	.4137124	0	0	0	0	0	0	.5862876	0	0
880	.4142714	0	0	0	0	0	0	.5857286	0	0
870	.4148351	0	0	0	0	0	0	.5851649	0	0
860	.4154033	0	0	0	0	0	0	.5845967	0	0
850	.4159761	0	0	0	0	0	0	.5840239	0	0
840	.4165534	0	0	0	0	0	0	.5834466	0	0
830	.4171352	0	0	0	0	0	0	.5828648	0	0
820	.4177214	0	0	0	0	0	0	.5822786	0	0
810	.418312	0	0	0	0	0	0	.581688	0	0
800	.418907	0	0	0	0	0	0	.581093	0	0
790	.4195062	0	0	0	0	0	0	.5804938	0	0
780	.4201098	0	0	0	0	0	0	.5798902	0	0
770	.4207175	0	0	0	0	0	0	.5792825	0	0
760	.4213294	0	0	0	0	0	0	.5786706	0	0
750	.4219455	0	0	0	0	0	0	.5780545	0	0
740	.4225656	0	0	0	0	0	0	.5774344	0	0
730	.4231898	0	0	0	0	0	0	.5768102	0	0
720	.423818	0	0	0	0	0	0	.576182	0	0
710	.4244501	0	0	0	0	0	0	.5755499	0	0
700	.4250861	0	0	0	0	0	0	.5749139	0	0
690	.425726	0	0	0	0	0	0	.574274	0	0
680	.4263697	0	0	0	0	0	0	.5736304	0	0
670	.4270171	0	0	0	0	0	0	.5729829	0	0
660	.4276682	0	0	0	0	0	0	.5723318	0	0
650	.428323	0	0	0	0	0	0	.571677	0	0
640	.4289814	0	0	0	0	0	0	.5710186	0	0
630	.4296433	0	0	0	0	0	0	.5703567	0	0
620	.4303088	0	0	0	0	0	0	.5696912	0	0
610	.4309777	0	0	0	0	0	0	.5690223	0	0
602.6242	.4314733	0	0	0	0	0	0	.5685267	0	0
602.6242	.4314733	0	0	0	0	0	0	.5685267	0	0
602.6242	.4314733	0	0	0	0	0	0	.5685267	0	0
600	.4316498	0	0	0	0	0	0	.5683502	0	0
590	.4323241	0	0	0	0	0	0	.5676759	0	0
580	.4330012	0	0	0	0	0	0	.5669988	0	0
570	.433681	0	0	0	0	0	0	.566319	0	0
560	.4343635	0	0	0	0	0	0	.5656365	0	0
550	.4350485	0	0	0	0	0	0	.5649515	0	0
547.7445	.4352034	0	0	0	0	0	0	.5647966	0	0
547.7445	.4352034	0	0	0	0	0	0	.5647966	0	0
540	.4356184	0	0	0	0	0	0	.5643816	0	0
530	.4361611	0	0	0	0	0	0	.5638389	0	0
520	.4367114	0	0	0	0	0	0	.5632886	0	0
510	.4372695	0	0	0	0	0	0	.5627305	0	0
500	.4378357	0	0	0	0	0	0	.5621643	0	0
490	.43841	0	0	0	0	0	0	.56159	0	0
480	.4389926	0	0	0	0	0	0	.5610074	0	0
470	.4395837	0	0	0	0	0	0	.5604163	0	0
460	.4401835	0	0	0	0	0	0	.5598165	0	0
450	.4407922	0	0	0	0	0	0	.5592078	0	0
440	.4414101	0	0	0	0	0	0	.5585899	0	0
430	.4420374	0	0	0	0	0	0	.5579626	0	0
420	.4426747	0	0	0	0	0	0	.5573253	0	0
410	.4433226	0	0	0	0	0	0	.5566774	0	0
400	.4439821	0	0	0	0	0	0	.556018	0	0
399.85	.443992	0	0	0	0	0	0	.556008	0	0
