T	 X(LAVES_PHASE_C14#1,AL)	X(LAVES_PHASE_C14#1,C)	X(LAVES_PHASE_C14#1,CR)	X(LAVES_PHASE_C14#1,FE)	X(LAVES_PHASE_C14#1,MN)	X(LAVES_PHASE_C14#1,MO)	X(LAVES_PHASE_C14#1,NB)	X(LAVES_PHASE_C14#1,NI)	X(LAVES_PHASE_C14#1,SI)	X(LAVES_PHASE_C14#1,W)
1499.85	.001301485	0	.1201448	.6798163	6.295985E-08	.003570653	.002676371	.1547557	7.863577E-06	.03772675
1490	.001258573	0	.1425196	.5469422	5.663177E-06	.02041829	.01275325	.1158809	2.182132E-04	.1600033
1480	.001162488	0	.1421664	.5390546	9.015597E-06	.02247099	.01352735	.1083065	3.081545E-04	.1729945
1470	.001085724	0	.1418065	.5344716	1.220202E-05	.02378239	.01395774	.1029228	3.846838E-04	.1815763
1460	.001018302	0	.1414646	.5311786	1.546143E-05	.02478846	.01424823	.09843323	4.572674E-04	.1883959
1450	9.572308E-04	0	.1411435	.528619	1.884511E-05	.02561218	.01445621	.09447324	5.283743E-04	.1941914
1440	9.010731E-04	0	.1408431	.5265439	2.236576E-05	.02630921	.01460774	.09087944	5.990135E-04	.1992942
1430	8.489707E-04	0	.1405625	.5248165	2.60236E-05	.02691083	.01471739	.08755985	6.697007E-04	.2038882
1425.01	8.243038E-04	0	.1404296	.5240571	2.789831E-05	.0271817	.0147594	.08598738	7.050824E-04	.2060276
1425.01	8.243038E-04	0	.1404296	.5240571	2.789831E-05	.0271817	.0147594	.08598738	7.050824E-04	.2060276
1420	7.710589E-04	0	.1418579	.5172166	3.956894E-05	.02820501	.01666636	.07960935	.001042909	.2145912
1410	6.92152E-04	0	.1440054	.5081351	6.211525E-05	.02898877	.02096229	.07070957	.001845286	.2245993
1400	6.321504E-04	0	.1452957	.5021825	8.176869E-05	.02894442	.02605549	.06468665	.002784387	.229337
1390	5.824253E-04	0	.1458882	.4979226	9.766628E-05	.02850835	.03189933	.06032219	.003827934	.2309513
1380	5.392075E-04	0	.1459348	.4946878	1.099398E-04	.02787325	.03837815	.0569897	.004964753	.2305225
1370	5.005598E-04	0	.1455519	.4921117	1.190462E-04	.02713055	.04537921	.05433253	.006199168	.2286754
1360	4.653695E-04	0	.1448198	.4899794	1.254443E-04	.02632538	.0528136	.05213954	.007542344	.225789
1350	4.32948E-04	0	.1437899	.4881629	1.295018E-04	.02548103	.06061687	.05028202	.009006502	.2220983
1344.364	4.157184E-04	0	.1430902	.4872485	1.308652E-04	.02499289	.06515968	.04935105	.009889039	.2197221
1344.364	4.157184E-04	0	.1430902	.4872485	1.308652E-04	.02499289	.06515968	.04935105	.009889039	.2197221
1340	3.938181E-04	0	.1433274	.4846001	1.343063E-04	.02438863	.07001065	.04799692	.01130703	.2178412
1339.926	3.934935E-04	0	.1433237	.4845634	1.343392E-04	.02437827	.07010123	.04797815	.011331	.2177964
1339.926	3.934935E-04	0	.1433237	.4845634	1.343392E-04	.02437827	.07010123	.04797815	.011331	.2177964
1330	3.697578E-04	0	.1441298	.484488	1.361493E-04	.02449295	.06814648	.0467562	.01118718	.2202935
1320	3.470785E-04	0	.1449534	.4843958	1.379087E-04	.02460099	.06619023	.04553941	.01104188	.2227934
1310	3.255846E-04	0	.1457881	.4842867	1.395983E-04	.02470105	.06424968	.04433741	.01089658	.2252753
1300	3.05226E-04	0	.1466332	.4841608	1.412126E-04	.02479268	.06232741	.04315074	.01075166	.2277371
1290	2.85954E-04	0	.1474883	.4840176	1.427461E-04	.02487548	.06042586	.04197991	.01060748	.2301767
1280	2.677215E-04	0	.1483527	.4838571	1.441933E-04	.02494906	.05854734	.04082542	.01046438	.2325921
1270	2.50483E-04	0	.1492259	.4836792	1.455488E-04	.02501304	.05669402	.03968772	.01032265	.2349815
1260	2.341945E-04	0	.1501075	.4834838	1.468074E-04	.02506711	.05486794	.03856727	.01018257	.2373428
1250	2.188132E-04	0	.1509968	.483271	1.47964E-04	.02511096	.05307101	.03746448	.01004439	.2396745
1240	2.042979E-04	0	.1518935	.4830409	1.490139E-04	.02514433	.05130497	.03637974	.009908325	.241975
1230	1.906088E-04	0	.1527971	.4827934	1.49952E-04	.025167	.04957144	.03531339	.009774578	.2442426
1220	1.777073E-04	0	.1537072	.4825286	1.507742E-04	.02517875	.04787187	.03426575	.009643317	.246476
1210	1.655563E-04	0	.1546234	.4822469	1.514764E-04	.02517944	.0462076	.03323709	.009514691	.2486739
1200	1.541198E-04	0	.1555452	.4819483	1.520547E-04	.02516891	.0445798	.03222767	.009388827	.2508352
1200	1.541198E-04	0	.1555452	.4819483	1.520547E-04	.02516891	.0445798	.03222767	.009388827	.2508352
1190	1.433634E-04	0	.1564724	.4816329	1.525059E-04	.02514709	.04298953	.03123769	.009265831	.2529587
1180	1.332535E-04	0	.1574045	.4813012	1.52827E-04	.02511389	.04143768	.03026731	.009145788	.2550435
1170	1.237583E-04	0	.1583414	.4809532	1.530157E-04	.02506929	.03992505	.02931669	.00902877	.2570888
1160	1.148466E-04	0	.1592827	.4805893	1.530699E-04	.02501327	.03845228	.02838591	.008914827	.2590938
1150	1.064888E-04	0	.1602281	.4802097	1.529881E-04	.02494586	.03701991	.02747505	.008803997	.2610579
1140	9.865638E-05	0	.1611774	.4798147	1.527693E-04	.0248671	.03562837	.02658414	.008696304	.2629806
1130	9.132177E-05	0	.1621304	.4794045	1.52413E-04	.02477707	.03427794	.02571319	.008591759	.2648614
1120	8.445865E-05	0	.1630869	.4789795	1.519193E-04	.02467587	.03296884	.02486216	.008490362	.2667
1110	7.804175E-05	0	.1640467	.4785399	1.512886E-04	.02456362	.03170116	.02403101	.0083921	.2684961
1100	7.204683E-05	0	.1650096	.4780861	1.505219E-04	.02444046	.03047491	.02321965	.008296955	.2702497
1090	6.645069E-05	0	.1659756	.4776182	1.496207E-04	.02430655	.02928998	.02242798	.008204898	.2719607
1080	6.123113E-05	0	.1669445	.4771366	1.48587E-04	.02416209	.02814621	.02165586	.008115893	.273629
1070	5.636689E-05	0	.1679161	.4766416	1.474231E-04	.02400726	.02704334	.02090314	.008029899	.2752549
1060	5.183767E-05	0	.1688906	.4761332	1.46132E-04	.02384228	.02598101	.02016965	.007946869	.2768384
1050	4.76241E-05	0	.1698677	.4756119	1.447168E-04	.02366738	.02495883	.0194552	.007866748	.2783799
1040	4.370767E-05	0	.1708475	.4750778	1.431813E-04	.0234828	.0239763	.01875957	.007789481	.2798796
1031.373	4.055417E-05	0	.171695	.4746069	1.41763E-04	.02331599	.02316012	.01817439	.00772507	.2811403
1031.373	4.055417E-05	0	.171695	.4746069	1.41763E-04	.02331599	.02316012	.01817439	.00772507	.2811403
1030	4.009438E-05	0	.1717229	.4746537	1.414835E-04	.0233879	.02308211	.01811802	.007700111	.2811537
1020	3.687103E-05	0	.1719235	.4749902	1.394262E-04	.02391958	.02252977	.01770961	.0075223	.2812288
1010	3.386084E-05	0	.1721197	.4753185	1.373328E-04	.02446539	.02200449	.01730515	.007351174	.2812643
1000	3.105336E-05	0	.1723115	.4756393	1.352058E-04	.02502578	.02150532	.01690468	.007186324	.2812608
990	2.843838E-05	0	.1724986	.4759531	1.330476E-04	.02560119	.02103138	.01650824	.007027373	.2812186
980	2.600599E-05	0	.1726808	.4762607	1.308605E-04	.0261921	.02058188	.01611588	.006873971	.2811378
