T	 X(LAVES_PHASE_C14#1,AL)	X(LAVES_PHASE_C14#1,C)	X(LAVES_PHASE_C14#1,CR)	X(LAVES_PHASE_C14#1,FE)	X(LAVES_PHASE_C14#1,MN)	X(LAVES_PHASE_C14#1,MO)	X(LAVES_PHASE_C14#1,NB)	X(LAVES_PHASE_C14#1,NI)	X(LAVES_PHASE_C14#1,SI)	X(LAVES_PHASE_C14#1,W)
970	2.374652E-05	0	.1728579	.4765625	1.286469E-04	.02679896	.02015607	.01572767	.006725792	.2810187
960	2.165063E-05	0	.1730294	.4768593	1.264088E-04	.02742228	.01975325	.01534364	.006582533	.2808615
950	1.970922E-05	0	.1731952	.4771517	1.241487E-04	.02806254	.01937277	.01496385	.006443909	.2806661
940	1.791354E-05	0	.1733549	.4774403	1.218686E-04	.02872025	.01901399	.01458836	.006309652	.2804327
930	1.62551E-05	0	.1735081	.4777258	1.195707E-04	.02939592	.01867631	.0142172	.006179511	.2801613
920	1.472576E-05	0	.1736544	.4780088	1.172572E-04	.03009008	.01835915	.01385043	.006053248	.2798519
910	1.331765E-05	0	.1737935	.4782899	1.149302E-04	.03080325	.01806192	.01348809	.005930637	.2795045
900	1.202323E-05	0	.173925	.4785697	1.125918E-04	.03153595	.01778405	.01313023	.005811462	.279119
890	1.083526E-05	0	.1740484	.4788489	1.10244E-04	.03228871	.01752496	.01277689	.005695517	.2786955
880	9.746802E-06	0	.1741634	.4791282	1.07889E-04	.03306207	.01728405	.01242812	.005582606	.278234
870	8.751228E-06	0	.1742694	.4794081	1.055287E-04	.03385655	.01706075	.01208395	.005472537	.2777344
860	7.84221E-06	0	.1743662	.4796892	1.031653E-04	.03467266	.01685441	.01174442	.005365129	.2771969
850	7.013719E-06	0	.1744533	.4799722	1.008007E-04	.03551092	.0166644	.01140957	.005260204	.2766216
840	6.260017E-06	0	.1745303	.4802576	9.843695E-05	.0363718	.01649007	.01107943	.005157592	.2760085
830	5.575654E-06	0	.1745969	.480546	9.607593E-05	.03725579	.01633072	.01075404	.005057126	.2753578
820	4.955465E-06	0	.1746526	.480838	9.37196E-05	.03816333	.01618565	.01043343	.004958646	.2746697
810	4.39456E-06	0	.1746971	.4811339	9.136984E-05	.03909483	.01605411	.01011763	.004861997	.2739446
800	3.888317E-06	0	.1747301	.4814344	8.90285E-05	.04005069	.01593535	.009806674	.004767026	.2731828
790	3.43238E-06	0	.1747514	.4817399	8.669737E-05	.04103122	.01582858	.009500592	.00467359	.2723846
780	3.022646E-06	0	.1747606	.4820507	8.437818E-05	.04203673	.01573301	.009199416	.004581546	.2715506
770	2.655263E-06	0	.1747575	.4823673	8.207261E-05	.04306743	.01564781	.008903179	.004490761	.2706812
760	2.326616E-06	0	.174742	.48269	7.978227E-05	.04412348	.01557217	.008611913	.004401106	.2697772
750	2.033322E-06	0	.1747139	.483019	7.75087E-05	.04520497	.01550524	.008325653	.004312458	.2688393
740	1.772224E-06	0	.1746731	.4833546	7.525335E-05	.04631189	.0154462	.008044431	.0042247	.2678681
730	1.540376E-06	0	.1746195	.4836969	7.30176E-05	.04744414	.01539422	.007768286	.004137725	.2668647
720	1.33504E-06	0	.1745532	.484046	7.080275E-05	.0486015	.01534848	.007497252	.004051431	.26583
710	1.153677E-06	0	.1744742	.484402	6.860999E-05	.04978365	.01530818	.007231367	.003965727	.2647651
700	9.939327E-07	0	.1743828	.4847647	6.644044E-05	.05099013	.01527254	.006970671	.003880528	.2636712
690	8.536354E-07	0	.174279	.4851341	6.429513E-05	.05222034	.01524081	.006715201	.00379576	.2625497
680	7.307832E-07	0	.1741633	.4855098	6.2175E-05	.05347353	.01521225	.006464999	.003711359	.2614019
670	6.235366E-07	0	.174036	.4858915	6.00809E-05	.05474878	.01518619	.006220102	.003627272	.2602294
660	5.302094E-07	0	.1738977	.4862787	5.801359E-05	.05604501	.01516197	.005980549	.003543454	.259034
650	4.492605E-07	0	.173749	.4866709	5.597378E-05	.05736097	.01513897	.005746379	.003459875	.2578175
640	3.792851E-07	0	.1735906	.4870673	5.396208E-05	.05869519	.01511664	.005517628	.003376514	.2565818
630	3.190065E-07	0	.1734234	.4874671	5.197905E-05	.06004604	.01509445	.005294331	.003293363	.255329
620	2.672681E-07	0	.1732484	.4878692	5.002519E-05	.06141168	.01507194	.005076519	.003210426	.2540615
610	2.230253E-07	0	.1730669	.4882724	4.810097E-05	.06279008	.01504868	.00486422	.003127718	.2527817
602.6242	1.946422E-07	0	.1729297	.4885697	4.670094E-05	.06381364	.01503083	.004711182	.003066878	.2518312
602.6242	1.946422E-07	0	.1729297	.4885697	4.670094E-05	.06381364	.01503083	.004711182	.003066878	.2518312
602.6242	1.946422E-07	0	.1729297	.4885697	4.670094E-05	.06381364	.01503083	.004711182	.003066878	.2518312
600	1.855197E-07	0	.1727177	.4888198	4.608853E-05	.06409291	.01528392	.004662461	.003056764	.2513202
590	1.541335E-07	0	.1718665	.4898107	4.376293E-05	.06512867	.01630785	.004480147	.003020593	.2493416
580	1.275588E-07	0	.1709419	.4908654	4.145043E-05	.06611209	.01743403	.004303137	.002988581	.2473133
570	1.051464E-07	0	.1699372	.4919899	3.915155E-05	.06703264	.01867424	.004131429	.002961358	.245234
560	8.632047E-08	0	.1688451	.4931907	3.686707E-05	.06787849	.02004195	.003965025	.002939694	.2431021
550	7.057243E-08	0	.1676573	.4944752	3.459807E-05	.06863639	.02155264	.003803928	.002924529	.2409153
547.7445	6.73988E-08	0	.1673752	.4947774	3.408857E-05	.06879369	.02191492	.003768326	.002922121	.2404143
547.7445	6.73988E-08	0	.1673752	.4947774	3.408857E-05	.06879369	.02191492	.003768326	.002922121	.2404143
540	5.77629E-08	0	.1676168	.4947121	3.21484E-05	.06727319	.0225845	.003676677	.002805324	.2412992
530	4.713737E-08	0	.1679655	.4945757	2.972412E-05	.06524934	.02351154	.003560711	.002666685	.2424408
520	3.82851E-08	0	.1683449	.4943918	2.73944E-05	.06316129	.02451619	.003447364	.0025411	.2435699
510	3.094369E-08	0	.168742	.4941742	2.516226E-05	.06101394	.02560751	.003336568	.002427949	.2446726
500	2.488391E-08	0	.1691415	.4939387	2.303004E-05	.05881273	.02679628	.003228242	.002326732	.2457327
490	1.990638E-08	0	.1695256	.4937036	2.099945E-05	.05656363	.02809531	.003122293	.002237087	.2467315
480	1.583846E-08	0	.1698733	.4934898	1.907154E-05	.05427315	.02952005	.003018622	.002158816	.2476471
470	1.253135E-08	0	.1701601	.4933221	1.724668E-05	.05194827	.03108928	.002917116	.002091929	.2484539
460	9.857422E-09	0	.1703567	.4932293	1.552457E-05	.04959637	.03282607	.002817655	.002036695	.2491217
450	7.707706E-09	0	.1704276	.4932461	1.390424E-05	.04722519	.03475919	.002720112	.001993745	.2496142
440	5.989643E-09	0	.1703298	.4934141	1.238404E-05	.04484265	.03692506	.002624357	.001964209	.2498874
430	4.625009E-09	0	.1700095	.493785	1.09616E-05	.0424568	.0393707	.002530259	.001949958	.2498868
420	3.548054E-09	0	.169398	.4944239	9.633848E-06	.04007552	.0421582	.002437699	.001954012	.249543
410	2.703817E-09	0	.1684051	.4954154	8.39683E-06	.03770629	.0453721	.002346591	.001981271	.2487649
400	2.046625E-09	0	.1669067	.4968739	7.245565E-06	.0353557	.04913201	.002256917	.002039915	.2474276
399.85	2.037989E-09	0	.1668795	.4969001	7.228918E-06	.03532061	.04919338	.002255583	.002041096	.2474025
