T	 X(FCC_A1#1,AL)	X(FCC_A1#1,C)	X(FCC_A1#1,CR)	X(FCC_A1#1,FE)	X(FCC_A1#1,MN)	X(FCC_A1#1,MO)	X(FCC_A1#1,NB)	X(FCC_A1#1,NI)	X(FCC_A1#1,SI)	X(FCC_A1#1,W)
1499.85	.04826888	9.497641E-04	.1441345	.6214583	.001522584	.003357659	5.479774E-04	.1711532	.001639905	.006967191
1490	.04855112	9.479441E-04	.1437301	.6213292	.001526681	.003355358	5.454495E-04	.1713988	.001647225	.006968198
1480	.04884212	9.460085E-04	.143318	.6211873	.001530912	.003353077	5.428968E-04	.1716559	.001654696	.006969137
1470	.04913769	9.439831E-04	.1429042	.6210347	.001535217	.003350855	5.403582E-04	.1719208	.001662206	.006969992
1460	.0494379	9.418665E-04	.1424887	.6208712	.001539596	.003348694	5.378337E-04	.1721937	.001669752	.006970759
1450	.04974278	9.396614E-04	.1420714	.6206976	.001544049	.003346604	5.353213E-04	.1724738	.001677336	.006971446
1440	.05005251	9.373576E-04	.141652	.6205124	.001548581	.00334457	5.328259E-04	.1727627	.001684952	.006972031
1430	.05036715	9.349566E-04	.1412304	.6203161	.001553191	.003342601	5.30346E-04	.1730601	.001692599	.006972518
1425.01	.05052601	9.337213E-04	.1410192	.6202139	.001555521	.003341643	5.291147E-04	.1732118	.001696426	.006972722
1425.01	.05052601	9.337213E-04	.1410192	.6202139	.001555521	.003341643	5.291147E-04	.1732118	.001696426	.006972722
1420	.05131252	.001071047	.1427118	.613854	.001617325	.003574864	6.307824E-04	.1759383	.001833948	.007455424
1410	.0525096	.001372424	.1451914	.6040234	.001715476	.003973355	8.784661E-04	.1799373	.002086198	.008312427
1400	.05327787	.001692006	.1468264	.5971122	.001784696	.004281348	.001183912	.1825352	.002297126	.00900925
1390	.05373341	.002010452	.1479236	.5921889	.001832332	.004512699	.001540726	.184237	.002464646	.009556358
1380	.05398113	.002315628	.1486771	.5885712	.001864985	.004686006	.001940704	.1853876	.002594816	.009980912
1370	.05409597	.00260253	.1492056	.5858058	.001887499	.00481742	.00237605	.1862019	.002695897	.01031127
1360	.05412616	.002870924	.1495824	.5836039	.001903135	.004919001	.002840232	.186808	.002775304	.01057098
1350	.05410137	.003123108	.1498534	.581783	.001914027	.004999267	.003328052	.187281	.00283877	.0107779
1344.364	.05407027	.003259365	.1499715	.580879	.001918621	.00503743	.003611844	.1875065	.002869138	.01087637
1344.364	.05407027	.003259365	.1499715	.580879	.001918621	.00503743	.003611844	.1875065	.002869138	.01087637
1340	.05392039	.002860467	.1506483	.578507	.001934965	.005168378	.003973727	.188755	.002986714	.01124503
1339.926	.05391864	.002854236	.150656	.5784744	.001935169	.005170086	.003980025	.1887733	.002988416	.0112498
1339.926	.05391864	.002854236	.150656	.5784744	.001935169	.005170086	.003980025	.1887733	.002988416	.0112498
1330	.05393132	.002743441	.150691	.5786102	.001935624	.005170732	.003859485	.1888177	.002989119	.01125141
1320	.0539438	.002634451	.1507254	.5787439	.001936071	.005171619	.00374065	.1888614	.002989811	.01125302
1310	.05395597	.002528082	.1507589	.5788743	.001936508	.00517271	.003624432	.188904	.002990485	.01125464
1300	.05396785	.002424319	.1507917	.5790015	.001936934	.005173975	.003510838	.1889456	.002991144	.01125625
1290	.05397943	.002323144	.1508236	.5791255	.001937349	.005175385	.003399873	.1889861	.002991785	.01125787
1280	.05399071	.00222454	.1508547	.5792464	.001937754	.005176915	.003291539	.1890256	.002992411	.01125948
1270	.0540017	.002128487	.1508849	.5793642	.001938148	.005178541	.003185836	.1890641	.00299302	.01126109
1260	.0540124	.002034969	.1509144	.5794788	.001938532	.005180241	.003082759	.1891015	.002993613	.0112627
1250	.05402282	.001943965	.1509431	.5795905	.001938906	.005181995	.002982304	.189138	.00299419	.0112643
1240	.05403294	.001855455	.1509709	.579699	.001939269	.005183783	.002884463	.1891735	.002994751	.0112659
1230	.05404279	.001769419	.150998	.5798046	.001939623	.005185591	.002789225	.1892079	.002995297	.0112675
1220	.05405235	.001685836	.1510244	.5799072	.001939966	.005187404	.002696577	.1892414	.002995827	.0112691
1210	.05406164	.001604684	.1510499	.5800068	.001940299	.005189209	.002606507	.1892739	.002996342	.01127069
1200	.05407066	.001525943	.1510747	.5801035	.001940623	.005190995	.002518996	.1893055	.002996842	.01127227
1200	.05407066	.001525943	.1510747	.5801035	.001940623	.005190995	.002518996	.1893055	.002996842	.01127227
1190	.0540794	.001449589	.1510987	.5801972	.001940937	.005192753	.002434028	.1893361	.002997326	.01127385
1180	.05408787	.001375601	.1511221	.5802882	.001941241	.005194473	.002351582	.1893658	.002997796	.01127543
1170	.05409608	.001303955	.1511446	.5803763	.001941536	.00519615	.002271636	.1893945	.002998251	.011277
1160	.05410403	.001234629	.1511665	.5804615	.001941821	.005197777	.002194168	.1894223	.002998691	.01127855
1150	.05411171	.001167599	.1511876	.580544	.001942097	.00519935	.002119153	.1894493	.002999117	.01128011
1140	.05411914	.001102841	.151208	.5806238	.001942364	.005200866	.002046564	.1894753	.002999529	.01128165
1130	.05412631	.001040332	.1512278	.5807008	.001942621	.005202321	.001976376	.1895004	.002999926	.01128318
1120	.05413324	9.800462E-04	.1512468	.5807751	.00194287	.005203713	.001908559	.1895246	.00300031	.0112847
1110	.05413991	9.219603E-04	.1512652	.5808468	.00194311	.005205043	.001843085	.189548	.00300068	.01128621
1100	.05414634	8.660488E-04	.1512828	.5809159	.001943341	.005206308	.001779924	.1895705	.003001037	.01128771
1090	.05415253	8.122869E-04	.1512999	.5809824	.001943563	.005207509	.001719043	.1895922	.003001379	.0112892
1080	.05415848	7.606489E-04	.1513163	.5810464	.001943777	.005208647	.001660411	.189613	.003001709	.01129067
1070	.0541642	7.11109E-04	.151332	.5811078	.001943982	.005209722	.001603995	.1896331	.003002026	.01129213
1060	.05416968	6.636411E-04	.1513471	.5811667	.001944179	.005210735	.001549762	.1896523	.00300233	.01129357
1050	.05417493	6.182185E-04	.1513616	.5812232	.001944368	.005211688	.001497676	.1896707	.003002621	.01129499
1040	.05417996	5.748139E-04	.1513755	.5812773	.001944549	.005212583	.001447702	.1896883	.0030029	.0112964
1031.373	.05418412	5.389689E-04	.151387	.5813221	.001944699	.005213309	.001406259	.1897028	.003003131	.0112976
1031.373	.05418412	5.389689E-04	.151387	.5813221	.001944699	.005213309	.001406259	.1897028	.003003131	.0112976
1030	.05419749	5.346565E-04	.1513835	.5813528	.001945145	.005209086	.001396202	.1897454	.003002043	.01123374
1020	.05429354	5.037755E-04	.1513581	.5815728	.001948357	.005177681	.001325081	.1900517	.002994566	.01077443
1010	.05438737	4.73842E-04	.1513324	.5817864	.001951502	.005145125	.001257571	.1903523	.002987837	.01032555
1000	.054479	4.448804E-04	.1513067	.5819937	.001954579	.005111407	.001193498	.1906472	.002981802	.00988723
990	.05456843	4.169118E-04	.1512809	.5821948	.00195759	.005076513	.001132698	.1909362	.002976414	.009459596
980	.05465568	3.899541E-04	.151255	.5823896	.001960534	.00504043	.001075013	.1912194	.002971627	.009042741
970	.05474075	3.640223E-04	.1512291	.5825784	.001963412	.005003143	.001020291	.1914967	.0029674	.008636746
960	.05482367	3.39128E-04	.1512033	.5827611	.001966224	.004964637	9.683879E-04	.1917682	.002963693	.008241668
950	.05490446	3.152799E-04	.1511775	.5829378	.001968971	.004924895	9.191629E-04	.1920339	.002960473	.007857548
940	.05498314	2.924836E-04	.1511518	.5831087	.001971654	.004883899	8.724814E-04	.1922937	.002957705	.007484413
930	.05505973	2.707417E-04	.1511263	.5832738	.001974272	.004841632	8.282136E-04	.1925477	.002955358	.007122269
920	.05513425	2.500535E-04	.151101	.5834332	.001976827	.004798073	7.862343E-04	.1927959	.002953404	.006771111
910	.05520675	2.304152E-04	.1510759	.5835869	.001979319	.004753203	7.464228E-04	.1930384	.002951817	.006430917
900	.05527724	2.118199E-04	.151051	.5837352	.00198175	.004706999	7.086626E-04	.1932751	.002950572	.006101654
890	.05534576	1.942572E-04	.1510265	.583878	.00198412	.00465944	6.728412E-04	.1935062	.002949646	.005783271
880	.05541234	1.777137E-04	.1510023	.5840155	.001986429	.004610503	6.388506E-04	.1937317	.002949019	.005475708
870	.05547702	1.621727E-04	.1509785	.5841477	.001988679	.004560163	6.065865E-04	.1939516	.002948671	.005178892
860	.05553983	1.476143E-04	.1509552	.5842748	.001990872	.004508398	5.759488E-04	.1941661	.002948584	.004892735
850	.05560081	1.340156E-04	.1509324	.5843968	.001993007	.004455181	5.468415E-04	.1943751	.002948742	.004617141
840	.05565999	1.213507E-04	.15091	.5845139	.001995086	.004400488	5.191727E-04	.1945788	.002949131	.004352001
830	.05571743	1.095908E-04	.1508883	.5846262	.00199711	.004344293	4.928549E-04	.1947773	.002949736	.004097193
820	.05577315	9.870467E-05	.1508672	.5847337	.00199908	.00428657	4.678047E-04	.1949707	.002950545	.003852589
810	.0558272	8.865857E-05	.1508467	.5848366	.002000997	.004227297	4.439433E-04	.195159	.002951547	.003618045
800	.05587963	7.941681E-05	.1508269	.584935	.002002863	.004166447	4.211962E-04	.1953424	.002952731	.003393412
790	.05593047	7.094195E-05	.1508079	.585029	.002004679	.004103997	3.994937E-04	.1955209	.002954088	.003178529
780	.05597977	6.319518E-05	.1507896	.5851188	.002006445	.004039927	3.787705E-04	.1956946	.002955611	.002973224
770	.05602758	5.613668E-05	.1507722	.5852044	.002008164	.003974215	3.589662E-04	.1958638	.00295729	.00277732
760	.05607393	4.972602E-05	.1507555	.5852859	.002009836	.003906843	3.400248E-04	.1960284	.00295912	.002590628
750	.05611888	4.392251E-05	.1507398	.5853636	.002011463	.003837798	3.218951E-04	.1961887	.002961094	.002412952
740	.05616247	3.868557E-05	.1507249	.5854374	.002013045	.003767066	3.045301E-04	.1963446	.002963207	.002244089
730	.05620474	3.397509E-05	.1507109	.5855075	.002014585	.00369464	2.878876E-04	.1964964	.002965453	.002083827
720	.05624573	2.975176E-05	.1506979	.5855742	.002016084	.003620517	2.719294E-04	.1966441	.002967828	.001931949
710	.0562855	2.597731E-05	.1506858	.5856373	.002017542	.003544699	2.566213E-04	.1967879	.002970327	.001788231
700	.05632408	2.261481E-05	.1506747	.5856972	.002018962	.003467195	2.419331E-04	.1969279	.002972947	.001652443
690	.05636152	1.962884E-05	.1506646	.5857539	.002020344	.003388019	2.27838E-04	.1970642	.002975684	.001524349
