T	 X(FCC_A1#2,AL)	X(FCC_A1#2,C)	X(FCC_A1#2,CR)	X(FCC_A1#2,FE)	X(FCC_A1#2,MN)	X(FCC_A1#2,MO)	X(FCC_A1#2,NB)	X(FCC_A1#2,NI)	X(FCC_A1#2,SI)	X(FCC_A1#2,W)
1499.85	4.617709E-04	.4815733	.1111869	.01042907	.001139196	.02232278	.3552985	.005114397	2.391351E-04	.01223499
1490	.04855112	9.479441E-04	.1437301	.6213292	.001526681	.003355358	5.454495E-04	.1713988	.001647225	.006968198
1480	.04884212	9.460085E-04	.143318	.6211873	.001530912	.003353077	5.428968E-04	.1716559	.001654696	.006969137
1470	.04913769	9.439831E-04	.1429042	.6210347	.001535217	.003350855	5.403582E-04	.1719208	.001662206	.006969992
1460	.0494379	9.418665E-04	.1424887	.6208712	.001539596	.003348694	5.378337E-04	.1721937	.001669752	.006970759
1450	.04974278	9.396614E-04	.1420714	.6206976	.001544049	.003346604	5.353213E-04	.1724738	.001677336	.006971446
1440	.05005251	9.373576E-04	.141652	.6205124	.001548581	.00334457	5.328259E-04	.1727627	.001684952	.006972031
1430	.05036715	9.349566E-04	.1412304	.6203161	.001553191	.003342601	5.30346E-04	.1730601	.001692599	.006972518
1425.01	.05052601	9.337213E-04	.1410192	.6202139	.001555521	.003341643	5.291147E-04	.1732118	.001696426	.006972722
1425.01	.05052601	9.337213E-04	.1410192	.6202139	.001555521	.003341643	5.291147E-04	.1732118	.001696426	.006972722
1420	3.573733E-04	.4823601	.1125581	.009865264	.001056582	.01963665	.3571784	.004375795	2.513875E-04	.01236042
1410	2.303037E-06	.4496665	.01268702	.01546758	3.373019E-05	.04980046	.4445511	7.221283E-04	1.365959E-08	.02706913
1400	8.80416E-07	.4592564	.007727533	.008500367	1.847139E-05	.03851968	.466727	3.848866E-04	8.749588E-09	.01886473
1390	4.4983E-07	.4644321	.005415021	.00553277	1.195757E-05	.02999237	.4802222	2.425674E-04	6.180616E-09	.01415056
1380	2.617924E-07	.4678235	.004060442	.003898598	8.363338E-06	.02343176	.4896144	1.653266E-04	4.550104E-09	.01099742
1370	1.648226E-07	.4702409	.003181819	.002886235	6.141611E-06	.01838971	.4964198	1.183815E-04	3.438889E-09	.008756811
1360	1.09404E-07	.4720627	.002573786	.002211065	4.667446E-06	.01451048	.5014458	8.774475E-05	2.649935E-09	.007103621
1350	7.540064E-08	.4734959	.00213281	.001736856	3.638852E-06	.01151426	.5052005	6.671649E-05	2.073375E-09	.005849308
1344.364	6.191207E-08	.4741813	.001935052	.001529202	3.19098E-06	.01013171	.5068899	5.768061E-05	1.815739E-09	.005271866
1344.364	6.191207E-08	.4741813	.001935052	.001529202	3.19098E-06	.01013171	.5068899	5.768061E-05	1.815739E-09	.005271866
1340	5.679835E-08	.4733223	.001771318	.001425022	2.951386E-06	.00924946	.5091543	5.288784E-05	1.700811E-09	.005021722
1339.926	5.671813E-08	.473308	.001768682	.001423386	2.947491E-06	.009234556	.5091925	5.281119E-05	1.698788E-09	.005017
1339.926	5.671813E-08	.473308	.001768682	.001423386	2.947491E-06	.009234556	.5091925	5.281119E-05	1.698788E-09	.005017
1330	5.137841E-08	.4733518	.001785411	.001394587	2.861956E-06	.008586515	.5098695	5.002832E-05	1.572909E-09	.004959214
1320	4.643791E-08	.4733937	.001802036	.001365277	2.776333E-06	.007966655	.5105232	4.732606E-05	1.453751E-09	.004898926
1310	4.190922E-08	.4734333	.00181842	.001335708	2.691362E-06	.007379392	.5111491	4.472487E-05	1.341956E-09	.004836656
1300	3.776474E-08	.4734703	.00183455	.001305921	2.607139E-06	.006824112	.5117477	4.222391E-05	1.237205E-09	.004772506
1290	3.3978E-08	.4735047	.001850412	.001275958	2.523753E-06	.006300109	.5123198	3.982215E-05	1.139181E-09	.004706574
1280	3.052373E-08	.4735364	.00186599	.001245858	2.44129E-06	.005806595	.5128662	3.751832E-05	1.047572E-09	.004638959
1270	2.737785E-08	.4735653	.001881266	.001215659	2.359826E-06	.005342708	.5133876	3.531095E-05	9.620676E-10	.004569755
1260	2.451746E-08	.4735912	.001896221	.001185399	2.279434E-06	.004907522	.5138851	3.319842E-05	8.823669E-10	.004499056
1250	2.192089E-08	.4736141	.001910833	.001155113	2.200177E-06	.004500059	.5143595	3.117892E-05	8.081733E-10	.00442695
