T	 X(FCC_A1#1,AL)	X(FCC_A1#1,C)	X(FCC_A1#1,CR)	X(FCC_A1#1,FE)	X(FCC_A1#1,MN)	X(FCC_A1#1,MO)	X(FCC_A1#1,NB)	X(FCC_A1#1,NI)	X(FCC_A1#1,SI)	X(FCC_A1#1,W)
1110	.04911576	9.922484E-04	.1518496	.582247	.0020102	.01408253	.001771389	.1947555	.003145675	2.998286E-05
1100	.04912176	9.345092E-04	.1518678	.5823182	.002010446	.01408589	.00170599	.1947793	.003146059	2.998671E-05
1090	.04912754	8.788662E-04	.1518854	.5823868	.002010683	.0140891	.001642905	.1948023	.00314643	2.999052E-05
1080	.04913311	8.252977E-04	.1519023	.582453	.002010911	.01409215	.001582104	.1948244	.003146787	2.99943E-05
1070	.04913848	7.737815E-04	.1519186	.5825166	.002011131	.01409504	.00152356	.1948456	.00314713	2.999804E-05
1060	.04914364	7.242949E-04	.1519343	.5825779	.002011342	.01409778	.00146724	.1948661	.00314746	3.000174E-05
1050	.04914859	6.768147E-04	.1519493	.5826367	.002011545	.01410037	.001413112	.1948857	.003147778	3.000541E-05
1040	.04915334	6.313171E-04	.1519638	.5826932	.00201174	.01410281	.001361142	.1949046	.003148082	3.000903E-05
1030	.0491579	5.877777E-04	.1519776	.5827473	.002011926	.0141051	.001311295	.1949227	.003148374	3.001261E-05
1020	.04916226	5.461717E-04	.1519909	.5827991	.002012105	.01410726	.001263533	.19494	.003148653	3.001614E-05
1010	.04916643	5.064733E-04	.1520036	.5828487	.002012276	.01410928	.00121782	.1949565	.00314892	3.001962E-05
1000	.04917041	4.686562E-04	.1520158	.582896	.002012439	.01411116	.001174115	.1949723	.003149175	3.002306E-05
990	.0491742	4.326933E-04	.1520273	.5829411	.002012595	.01411293	.001132379	.1949873	.003149418	3.002644E-05
980	.04917782	3.985563E-04	.1520384	.582984	.002012743	.01411457	.001092571	.1950017	.003149649	3.002977E-05
970	.04918125	3.66216E-04	.1520489	.5830248	.002012884	.0141161	.001054648	.1950153	.003149869	3.003304E-05
960	.0491845	3.35642E-04	.1520589	.5830635	.002013017	.01411753	.001018566	.1950282	.003150078	3.003625E-05
950	.04918758	3.068023E-04	.1520684	.5831002	.002013143	.01411884	9.842813E-04	.1950404	.003150275	3.00394E-05
940	.0491905	2.796632E-04	.1520774	.5831349	.002013263	.01412006	9.517462E-04	.195052	.003150462	3.004248E-05
930	.04919325	2.541893E-04	.152086	.5831676	.002013376	.01412119	9.209131E-04	.1950629	.003150638	3.00455E-05
920	.04919583	2.303429E-04	.152094	.5831984	.002013482	.01412224	8.917322E-04	.1950731	.003150803	3.004845E-05
910	.04919826	2.080841E-04	.1521016	.5832273	.002013581	.01412319	8.641519E-04	.1950827	.003150959	3.005132E-05
900	.04920054	1.873704E-04	.1521088	.5832545	.002013675	.01412408	8.381188E-04	.1950918	.003151105	3.005412E-05
890	.04920267	1.681565E-04	.1521155	.5832799	.002013762	.01412489	8.135773E-04	.1951002	.003151241	3.005683E-05
880	.04920466	1.503941E-04	.1521219	.5833036	.002013844	.01412563	7.904696E-04	.1951081	.003151369	3.005947E-05
870	.04920651	1.34032E-04	.1521278	.5833257	.00201392	.01412631	7.687361E-04	.1951155	.003151487	3.006203E-05
860	.04920824	1.190161E-04	.1521334	.5833462	.00201399	.01412693	7.483146E-04	.1951223	.003151598	3.006449E-05
850	.04920983	1.05289E-04	.1521386	.5833652	.002014056	.01412749	7.291414E-04	.1951286	.0031517	3.006687E-05
840	.04921131	9.279079E-05	.1521434	.5833828	.002014116	.01412801	7.111508E-04	.1951345	.003151795	3.006916E-05
830	.04921267	8.145884E-05	.152148	.5833991	.002014173	.01412848	6.942754E-04	.1951399	.003151882	3.007136E-05
820	.04921393	7.122843E-05	.1521522	.5834141	.002014224	.0141289	6.784469E-04	.1951449	.003151963	3.007346E-05
810	.04921509	6.203309E-05	.1521562	.583428	.002014272	.01412929	6.63596E-04	.1951495	.003152037	3.007548E-05
800	.04921616	5.380521E-05	.1521598	.5834407	.002014315	.01412964	6.496532E-04	.1951537	.003152105	3.007739E-05
790	.04921714	4.64766E-05	.1521633	.5834524	.002014356	.01412996	6.365492E-04	.1951576	.003152168	3.007922E-05
780	.04921804	3.997916E-05	.1521665	.5834632	.002014393	.01413025	6.242155E-04	.1951612	.003152226	3.008096E-05
770	.04921887	3.424553E-05	.1521695	.5834731	.002014427	.01413051	6.125849E-04	.1951645	.003152279	3.00826E-05
760	.04921963	2.92097E-05	.1521722	.5834822	.002014458	.01413075	6.01592E-04	.1951675	.003152328	3.008416E-05
750	.04922034	2.480767E-05	.1521749	.5834906	.002014487	.01413097	5.911736E-04	.1951703	.003152373	3.008562E-05
