T	 X(M23C6,AL)	X(M23C6,C)	X(M23C6,CR)	X(M23C6,FE)	X(M23C6,MN)	X(M23C6,MO)	X(M23C6,NB)	X(M23C6,NI)	X(M23C6,SI)	X(M23C6,W)
1499.85	0	.2068966	.3828545	.3566299	9.018461E-04	.007775066	0	.04468218	0	2.59963E-04
1490	0	.2068966	.3851412	.3545798	8.99486E-04	.008016509	0	.04420149	0	2.649409E-04
1480	0	.2068966	.3874885	.3524622	8.969939E-04	.00827369	0	.043712	0	2.700819E-04
1470	0	.2068966	.3898618	.3503074	8.943964E-04	.008543692	0	.04322094	0	2.753089E-04
1460	0	.2068966	.3922611	.3481146	8.91684E-04	.00882723	0	.04272824	0	2.8062E-04
1450	0	.2068966	.3946867	.3458832	8.888474E-04	.009125059	0	.04223362	0	2.860128E-04
1440	0	.2068966	.3971383	.3436123	8.858748E-04	.009437982	0	.04173748	0	2.914835E-04
1430	0	.2068966	.3996161	.3413011	8.827553E-04	.009766845	0	.04123959	0	2.970288E-04
1427.768	0	.2068966	.4001726	.3407798	8.820379E-04	.009842499	0	.04112824	0	2.982761E-04
1427.768	0	.2068966	.4001726	.3407798	8.820379E-04	.009842499	0	.04112824	0	2.982761E-04
1420	0	.2068966	.4080454	.3310131	9.161902E-04	.01134763	0	.04144319	0	3.379142E-04
1410	0	.2068966	.4158127	.3214707	9.436136E-04	.01301679	0	.04147923	0	3.804882E-04
1400	0	.2068966	.4219665	.3141309	9.568684E-04	.01440293	0	.04123254	0	4.136781E-04
1390	0	.2068966	.4272191	.3080925	9.606789E-04	.01558295	0	.0408088	0	4.393796E-04
1380	0	.2068966	.4319637	.3028156	9.584065E-04	.016631	0	.04027512	0	4.596194E-04
1370	0	.2068966	.436413	.2979897	9.521517E-04	.01760097	0	.03967171	0	4.759447E-04
1360	0	.2068966	.4406846	.2934349	9.431804E-04	.01852895	0	.03902251	0	4.89415E-04
1350	0	.2068966	.4448462	.2890432	9.32259E-04	.01943891	0	.03834208	0	5.007316E-04
1346.226	0	.2068966	.4463971	.2874137	9.277347E-04	.01978113	0	.03807918	0	5.045434E-04
1346.226	0	.2068966	.4463971	.2874137	9.277347E-04	.01978113	0	.03807918	0	5.045434E-04
1342.73	0	.2068966	.4489772	.2844193	9.223548E-04	.02042336	0	.03784573	0	5.155305E-04
1342.73	0	.2068966	.4489772	.2844193	9.223548E-04	.02042336	0	.03784573	0	5.155305E-04
1340	0	.2068966	.4499011	.2834795	9.186888E-04	.02062981	0	.0376574	0	5.168843E-04
1330	0	.2068966	.453297	.280004	9.049895E-04	.02140857	0	.03696721	0	5.216471E-04
1320	0	.2068966	.4567113	.276475	8.908515E-04	.02222384	0	.03627639	0	5.260793E-04
1310	0	.2068966	.4601428	.2728923	8.762621E-04	.02307688	0	.03558504	0	5.301489E-04
1300	0	.2068966	.4635903	.2692559	8.612103E-04	.02396895	0	.03489324	0	5.338228E-04
1290	0	.2068966	.4670525	.2655659	8.456866E-04	.02490122	0	.03420113	0	5.370675E-04
1280	0	.2068966	.4705277	.2618226	8.296834E-04	.02587483	0	.03350884	0	5.398485E-04
1270	0	.2068966	.4740143	.2580265	8.131959E-04	.02689079	0	.03281651	0	5.421311E-04
1260	0	.2068966	.4775105	.2541786	7.962219E-04	.02795002	0	.03212431	0	5.438808E-04
1250	0	.2068966	.4810142	.2502797	7.787624E-04	.02905331	0	.03143243	0	5.450631E-04
1240	0	.2068966	.4845232	.2463314	7.608234E-04	.03020128	0	.03074109	0	5.456447E-04
1230	0	.2068966	.4880352	.2423354	7.424108E-04	.03139436	0	.0300505	0	5.455934E-04
