T	 X(M23C6,AL)	X(M23C6,C)	X(M23C6,CR)	X(M23C6,FE)	X(M23C6,MN)	X(M23C6,MO)	X(M23C6,NB)	X(M23C6,NI)	X(M23C6,SI)	X(M23C6,W)
1220	0	.2068966	.4915476	.2382938	7.235384E-04	.03263277	0	.02936093	0	5.448786E-04
1210	0	.2068966	.4950576	.2342091	7.042235E-04	.03391647	0	.02867266	0	5.434724E-04
1200	0	.2068966	.4985623	.2300842	6.844887E-04	.03524518	0	.02798599	0	5.413496E-04
1200	0	.2068966	.4985623	.2300842	6.844887E-04	.03524518	0	.02798599	0	5.413496E-04
1190	0	.2068966	.5020586	.2259225	6.643622E-04	.03661828	0	.02730125	0	5.384887E-04
1180	0	.2068966	.5055432	.2217278	6.438777E-04	.03803485	0	.0266188	0	5.348723E-04
1170	0	.2068966	.5090128	.2175045	6.230748E-04	.03949359	0	.02593901	0	5.304878E-04
1160	0	.2068966	.5124638	.2132572	6.019984E-04	.04099286	0	.0252623	0	5.25328E-04
1150	0	.2068966	.5158925	.2089911	5.806993E-04	.04253062	0	.02458909	0	5.193916E-04
1140	0	.2068966	.5192953	.2047119	5.592328E-04	.04410445	0	.02391983	0	5.126834E-04
1130	0	.2068966	.5226685	.2004255	5.376591E-04	.04571153	0	.023255	0	5.052149E-04
1120	0	.2068966	.5260084	.1961382	5.160419E-04	.04734869	0	.02259507	0	4.970043E-04
1110	0	.2068966	.5293114	.1918566	4.944479E-04	.04901236	0	.02194053	0	4.880768E-04
1100	0	.2068966	.532574	.1875875	4.729454E-04	.05069868	0	.0212919	0	4.78464E-04
1090	0	.2068966	.5357928	.1833377	4.516039E-04	.05240349	0	.02064967	0	4.682039E-04
1080	0	.2068966	.5389647	.1791142	4.304922E-04	.05412239	0	.02001435	0	4.573404E-04
1070	0	.2068966	.5420868	.1749239	4.096775E-04	.05585076	0	.01938643	0	4.459229E-04
1060	0	.2068966	.5451566	.1707734	3.892246E-04	.05758389	0	.01876638	0	4.34005E-04
1050	0	.2068966	.5481718	.1666691	3.691941E-04	.05931699	0	.01815468	0	4.21644E-04
1040	0	.2068966	.5511307	.1626172	3.496423E-04	.06104525	0	.01755176	0	4.089E-04
1030	0	.2068966	.5540316	.1586234	3.306197E-04	.06276394	0	.01695804	0	3.95835E-04
1020	0	.2068966	.5568736	.1546929	3.121708E-04	.06446844	0	.01637391	0	3.825117E-04
1010	0	.2068966	.5596559	.1508302	2.943333E-04	.0661543	0	.01579972	0	3.689924E-04
1000	0	.2068966	.5623783	.1470396	2.771383E-04	.06781731	0	.01523579	0	3.553389E-04
990	0	.2068966	.5650409	.1433244	2.6061E-04	.0694535	0	.01468242	0	3.416109E-04
980	0	.2068966	.5676442	.1396875	2.447657E-04	.07105925	0	.01413986	0	3.278658E-04
970	0	.2068966	.5701889	.1361312	2.296166E-04	.0726312	0	.01360832	0	3.141577E-04
960	0	.2068966	.5726763	.1326571	2.151673E-04	.07416639	0	.013088	0	3.005377E-04
950	0	.2068966	.5751076	.1292661	2.014173E-04	.07566218	0	.01257905	0	2.870526E-04
940	0	.2068966	.5774845	.1259589	1.883608E-04	.07711631	0	.01208159	0	2.737456E-04
930	0	.2068966	.5798089	.1227354	1.759876E-04	.07852686	0	.01159572	0	2.606556E-04
920	0	.2068966	.5820825	.119595	1.642837E-04	.07989224	0	.01112151	0	2.478172E-04
910	0	.2068966	.5843077	.116537	1.532321E-04	.08121123	0	.01065901	0	2.35261E-04
900	0	.2068966	.5864865	.11356	1.428127E-04	.08248288	0	.01020824	0	2.230137E-04
890	0	.2068966	.5886212	.1106624	1.330038E-04	.08370657	0	.009769209	0	2.110979E-04
880	0	.2068966	.590714	.1078423	1.237819E-04	.08488194	0	.009341898	0	1.995328E-04
870	0	.2068966	.5927673	.1050976	1.151223E-04	.08600888	0	.008926282	0	1.883338E-04
860	0	.2068966	.5947831	.102426	1.069999E-04	.08708752	0	.008522318	0	1.775134E-04
850	0	.2068966	.5967637	.09982515	9.938904E-05	.08811819	0	.008129949	0	1.670808E-04
840	0	.2068966	.5987112	.09729241	9.226399E-05	.08910142	0	.007749109	0	1.570428E-04
830	0	.2068966	.6006277	.09482517	8.559932E-05	.0900379	0	.007379721	0	1.474034E-04
820	0	.2068966	.602515	.09242077	7.936999E-05	.09092847	0	.007021698	0	1.381645E-04
810	0	.2068966	.604375	.09007652	7.355159E-05	.09177408	0	.006674945	0	1.293257E-04
800	0	.2068966	.6062095	.08778975	6.81204E-05	.09257581	0	.00633936	0	1.20885E-04
790	0	.2068966	.6080201	.08555781	6.305355E-05	.09333482	0	.006014834	0	1.128386E-04
780	0	.2068966	.6098083	.0833781	5.832909E-05	.09405235	0	.00570125	0	1.051814E-04
770	0	.2068966	.6115754	.08124808	5.392601E-05	.09472971	0	.005398487	0	9.790683E-05
760	0	.2068966	.6133227	.0791653	4.98243E-05	.09536824	0	.005106416	0	9.100733E-05
750	0	.2068966	.6150513	.07712738	4.600497E-05	.09596935	0	.004824904	0	8.447432E-05
740	0	.2068966	.6167624	.07513205	4.245002E-05	.09653444	0	.004553812	0	7.82984E-05
730	0	.2068966	.6184568	.07317713	3.914245E-05	.09706495	0	.004292995	0	7.246947E-05
720	0	.2068966	.6201352	.07126056	3.606623E-05	.09756232	0	.004042304	0	6.697686E-05
720	0	.2068966	.6201352	.07126056	3.606623E-05	.09756232	0	.004042304	0	6.697686E-05
710	0	.2068966	.6217985	.06938038	3.320627E-05	.098028	0	.003801583	0	6.180942E-05
706.9259	0	.2068966	.6223068	.06880941	3.236833E-05	.098165	0	.003729561	0	6.028446E-05
706.9259	0	.2068966	.6223068	.06880941	3.236833E-05	.098165	0	.003729561	0	6.028446E-05
700	0	.2068966	.6231423	.06796423	3.083695E-05	.09831703	0	.003593336	0	5.569194E-05
690	0	.2068966	.6243569	.06673777	2.871973E-05	.09852889	0	.003401529	0	4.967543E-05
680	0	.2068966	.625581	.06550384	2.671042E-05	.09873204	0	.003215525	0	4.430574E-05
670	0	.2068966	.6268148	.06426223	2.480566E-05	.09892677	0	.003035354	0	3.950669E-05
660	0	.2068966	.628058	.06301278	2.300215E-05	.09911341	0	.002861041	0	3.521297E-05
650	0	.2068966	.6293105	.06175539	2.129661E-05	.09929225	0	.002692605	0	3.136821E-05
640	0	.2068966	.6305722	.06049001	1.968576E-05	.0994636	0	.002530057	0	2.79235E-05
630	0	.2068966	.6318426	.05921666	1.816639E-05	.09962774	0	.002373406	0	2.483613E-05
630	0	.2068966	.6318426	.05921666	1.816639E-05	.09962774	0	.002373406	0	2.483613E-05
620	0	.2068966	.6331216	.05793541	1.673528E-05	.09978497	0	.00222265	0	2.206864E-05
610	0	.2068966	.6344087	.05664642	1.538927E-05	.09993555	0	.002077782	0	1.958804E-05
600	0	.2068966	.6357035	.0553499	1.41252E-05	.1000798	0	.001938787	0	1.736511E-05
590	0	.2068966	.6370055	.05404615	1.293996E-05	.1002179	0	.001805642	0	1.537391E-05
580	0	.2068966	.638314	.05273555	1.183047E-05	.1003502	0	.001678316	0	1.35913E-05
570	0	.2068966	.6396285	.05141855	1.079367E-05	.1004769	0	.00155677	0	1.199661E-05
560	0	.2068966	.6409482	.0500957	9.82654E-06	.1005982	0	.001440956	0	1.057128E-05
550	0	.2068966	.6422724	.04876763	8.926112E-06	.1007144	0	.001330814	0	9.298638E-06
540	0	.2068966	.6436003	.04743508	8.089437E-06	.1008256	0	.00122628	0	8.16367E-06
530.0535	0	.2068966	.6449237	.04610599	7.317603E-06	.1009314	0	.001127791	0	7.157914E-06
530.0535	0	.2068966	.6449237	.04610599	7.317603E-06	.1009314	0	.001127791	0	7.157914E-06
530.0535	0	.2068966	.6449237	.04610599	7.317603E-06	.1009314	0	.001127791	0	7.157914E-06
530	0	.2068966	.7046024	.01305177	9.649707E-06	.07503047	0	3.967571E-04	0	1.244322E-05
