T	 X(LAVES_PHASE_C14#2,AL)	X(LAVES_PHASE_C14#2,C)	X(LAVES_PHASE_C14#2,CR)	X(LAVES_PHASE_C14#2,FE)	X(LAVES_PHASE_C14#2,MN)	X(LAVES_PHASE_C14#2,MO)	X(LAVES_PHASE_C14#2,NB)	X(LAVES_PHASE_C14#2,NI)	X(LAVES_PHASE_C14#2,SI)	X(LAVES_PHASE_C14#2,W)
1499.85	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1490	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1480	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1470	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1460	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1450	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1440	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1430	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1427.768	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1427.768	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1420	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1410	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1400	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1390	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1380	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1370	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1360	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1350	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1346.226	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1346.226	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1342.73	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1342.73	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1340	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1330	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1320	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1310	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1300	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1290	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1280	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1270	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1260	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1250	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1240	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1230	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1220	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1210	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1200	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1200	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1190	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1180	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1170	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1160	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1150	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1140	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1130	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1120	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1110	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1100	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1090	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1080	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1070	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1060	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1050	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1040	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1030	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1020	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1010	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
1000	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
990	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
980	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
970	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
960	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
950	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
940	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
930	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
920	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
910	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
900	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
890	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
880	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
870	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
860	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
850	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
840	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
830	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
820	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
810	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
800	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
790	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
780	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
770	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
760	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
750	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
740	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
730	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
720	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
720	6.799766E-10	0	.5533485	.001848428	2.622953E-06	.3319178	2.663458E-04	2.054353E-04	.111224	.001186911
710	4.088297E-09	0	.5514624	.003410183	5.48828E-06	.3317216	4.763795E-04	4.217137E-04	.1113017	.001200554
706.9259	3.819958E-09	0	.5515531	.003331347	5.336547E-06	.3317318	4.656023E-04	4.103474E-04	.1113027	.001199804
706.9259	3.819958E-09	0	.5515531	.003331347	5.336547E-06	.3317318	4.656023E-04	4.103474E-04	.1113027	.001199804
700	3.344884E-09	0	.552227	.003228195	5.122686E-06	.331763	4.554192E-04	3.913654E-04	.1107553	.001174561
690	2.752838E-09	0	.5532019	.003082708	4.824561E-06	.3318049	4.414502E-04	3.650422E-04	.1099583	.001140818
680	2.257264E-09	0	.5541794	.002941289	4.538879E-06	.3318437	4.28288E-04	3.399754E-04	.1091529	.001109933
670	1.843934E-09	0	.5551602	.002803932	4.265453E-06	.3318795	4.158725E-04	3.161374E-04	.1083385	.00108158
660	1.500477E-09	0	.5561449	.002670633	4.004085E-06	.3319128	4.0415E-04	2.934999E-04	.1075146	.00105548
650	1.216164E-09	0	.5571343	.002541388	3.754565E-06	.3319437	3.930729E-04	2.720339E-04	.1066803	.001031397
640	9.817322E-10	0	.5581291	.002416195	3.516674E-06	.3319727	3.825992E-04	2.517101E-04	.1058351	.001009125
630	7.89204E-10	0	.5591301	.002295051	3.290175E-06	.3319997	3.726915E-04	2.324982E-04	.1049781	9.884853E-04
630	7.89204E-10	0	.5591301	.002295051	3.290175E-06	.3319997	3.726915E-04	2.324982E-04	.1049781	9.884853E-04
620	6.317403E-10	0	.5601384	.002177949	3.074824E-06	.332025	3.633167E-04	2.143674E-04	.1041086	9.693234E-04
610	5.034982E-10	0	.5611547	.002064881	2.870361E-06	.3320488	3.544455E-04	1.972864E-04	.1032256	9.515035E-04
600	3.995062E-10	0	.56218	.001955834	2.676514E-06	.3320711	3.46052E-04	1.812231E-04	.1023282	9.349061E-04
590	3.15552E-10	0	.5632154	.00185079	2.492999E-06	.3320922	3.381134E-04	1.661447E-04	.1014155	9.194254E-04
580	2.480815E-10	0	.5642619	.001749724	2.319515E-06	.3321119	3.306099E-04	1.520178E-04	.1004865	9.049678E-04
570	1.941092E-10	0	.5653204	.001652603	2.155752E-06	.3321306	3.235243E-04	1.388087E-04	.09954047	8.914491E-04
560	1.511389E-10	0	.5663919	.001559385	2.001378E-06	.3321482	3.168422E-04	1.264826E-04	.09857642	8.78794E-04
550	1.170929E-10	0	.5674772	.001470016	1.856051E-06	.3321648	3.10552E-04	1.150046E-04	.09759368	8.669341E-04
540	9.025056E-11	0	.5685769	.001384428	1.719407E-06	.3321804	3.046453E-04	1.043391E-04	.09659174	8.55807E-04
530.0535	6.929319E-11	0	.5696855	.001302968	1.591732E-06	.3321951	2.991454E-04	9.450097E-05	.09557588	8.454093E-04
530.0535	6.929319E-11	0	.5696855	.001302968	1.591732E-06	.3321951	2.991454E-04	9.450097E-05	.09557588	8.454093E-04
530.0535	6.929319E-11	0	.5696855	.001302968	1.591732E-06	.3321951	2.991454E-04	9.450097E-05	.09557588	8.454093E-04
530	6.807878E-11	0	.5830391	.001848014	1.630235E-06	.3314337	2.949747E-04	9.266754E-05	.08167936	.001610568
