T	 X(FCC_A1#2,AL)	X(FCC_A1#2,C)	X(FCC_A1#2,CR)	X(FCC_A1#2,FE)	X(FCC_A1#2,MN)	X(FCC_A1#2,MO)	X(FCC_A1#2,NB)	X(FCC_A1#2,NI)	X(FCC_A1#2,SI)	X(FCC_A1#2,W)
1499.85	.04436127	9.383278E-04	.1464371	.619968	.001564916	.009165453	5.010384E-04	.1753058	.001739198	1.900094E-05
1490	.04462803	9.356569E-04	.1460335	.6198643	.001569015	.00916032	4.986213E-04	.1755433	.001748189	1.900993E-05
1480	.04490314	9.328543E-04	.1456224	.6197487	.001573247	.009155276	4.961786E-04	.1757919	.001757388	1.901891E-05
1470	.04518261	9.29959E-04	.1452096	.6196226	.001577551	.009150406	4.937472E-04	.1760479	.001766656	1.902775E-05
1460	.04546654	9.269698E-04	.1447951	.619486	.001581928	.009145716	4.913272E-04	.1763114	.001775994	1.903643E-05
1450	.04575494	9.238898E-04	.1443787	.6193398	.001586376	.009141233	4.889165E-04	.1765817	.001785403	1.904498E-05
1440	.04604799	9.207092E-04	.1439603	.6191823	.001590901	.009136919	4.865198E-04	.1768605	.001794877	1.905335E-05
1430	.04634574	9.174297E-04	.1435397	.619014	.001595501	.009132796	4.841356E-04	.1771472	.001804416	1.906154E-05
1427.768	.04641284	9.166841E-04	.1434455	.618975	.001596538	.009131902	4.836053E-04	.1772123	.001806553	1.906334E-05
1427.768	.04641284	9.166841E-04	.1434455	.618975	.001596538	.009131902	4.836053E-04	.1772123	.001806553	1.906334E-05
1420	2.49527E-05	.4421946	.01210549	.01863602	3.526732E-05	.119519	.4063734	.001031187	1.832855E-05	6.179837E-05
1410	1.411154E-06	.4509595	.009351801	.01197312	2.508062E-05	.1014338	.4255071	6.919626E-04	1.147815E-08	5.616714E-05
1400	5.832167E-07	.4593687	.006093723	.006866419	1.476532E-05	.0803923	.446847	3.760304E-04	7.372348E-09	4.046409E-05
1390	3.086228E-07	.464248	.004448542	.004602542	9.970974E-06	.06454586	.4618746	2.391065E-04	5.198259E-09	3.106351E-05
1380	1.847565E-07	.4675269	.003449749	.003340787	7.224567E-06	.05215137	.4733341	1.649275E-04	3.840886E-09	2.469663E-05
1370	1.192159E-07	.4699044	.00278215	.002545793	5.471304E-06	.0423157	.4823065	1.197082E-04	2.923847E-09	2.01018E-05
1360	8.083522E-08	.4717211	.002306657	.002003389	4.27076E-06	.03444257	.4894154	8.994446E-05	2.272802E-09	1.664253E-05
1350	5.673565E-08	.4731665	.001952102	.001612281	3.407116E-06	.02810288	.4950795	6.926959E-05	1.794256E-09	1.395695E-05
1346.226	4.998316E-08	.4736407	.001840875	.00149208	3.142703E-06	.02604036	.4969066	6.308359E-05	1.646421E-09	1.309595E-05
1346.226	4.998316E-08	.4736407	.001840875	.00149208	3.142703E-06	.02604036	.4969066	6.308359E-05	1.646421E-09	1.309595E-05
1342.73	4.662369E-08	.4729973	.001718473	.001417763	2.962344E-06	.0243272	.4994647	5.897786E-05	1.55523E-09	1.257116E-05
1342.73	4.662369E-08	.4729973	.001718473	.001417763	2.962344E-06	.0243272	.4994647	5.897786E-05	1.55523E-09	1.257116E-05
1340	4.539185E-08	.4730252	.001724645	.001411886	2.941781E-06	.0239094	.4998552	5.815896E-05	1.523702E-09	1.254826E-05
1330	4.110687E-08	.4731258	.001747146	.00138985	2.866067E-06	.02240994	.5012567	5.521402E-05	1.412358E-09	1.245867E-05
1320	3.716252E-08	.4732239	.001769465	.001367033	2.789824E-06	.02096067	.5026114	5.235595E-05	1.307345E-09	1.236024E-05
1310	3.353889E-08	.4733192	.001791581	.00134347	2.7132E-06	.01956386	.5039173	4.95867E-05	1.208456E-09	1.225317E-05
1300	3.02165E-08	.4734113	.001813474	.001319199	2.636341E-06	.01822146	.5051729	4.690788E-05	1.115477E-09	1.21377E-05
1290	2.717634E-08	.4735	.001835127	.001294262	2.559393E-06	.01693507	.5063766	4.432077E-05	1.028193E-09	1.201411E-05
1280	2.439994E-08	.4735849	.00185652	.001268707	2.482501E-06	.01570593	.5075277	4.182628E-05	9.463843E-10	1.188272E-05
1270	2.186941E-08	.4736659	.001877636	.001242584	2.405807E-06	.01453491	.5086253	3.942501E-05	8.698297E-10	1.174386E-05
1260	1.95675E-08	.4737427	.001898456	.001215945	2.329449E-06	.01342251	.5096693	3.711715E-05	7.983057E-10	1.15979E-05
1250	1.747764E-08	.4738151	.001918963	.001188847	2.253559E-06	.01236884	.5106597	3.490257E-05	7.315882E-10	1.144523E-05
1240	1.558397E-08	.4738828	.001939137	.001161345	2.178265E-06	.01137368	.5115968	3.278082E-05	6.694536E-10	1.128624E-05
1230	1.387136E-08	.4739458	.00195896	.001133497	2.103676E-06	.01043642	.5124814	3.07511E-05	6.116793E-10	1.112133E-05
1220	1.232545E-08	.4740038	.001978409	.00110536	2.029903E-06	.009556172	.5133145	2.881234E-05	5.58045E-10	1.095091E-05
1210	1.093265E-08	.4740567	.001997462	.001076991	1.957044E-06	.008731749	.5140974	2.696315E-05	5.083331E-10	1.077536E-05
1200	9.680147E-09	.4741045	.002016093	.001048444	1.885189E-06	.007961697	.5148316	2.520195E-05	4.623299E-10	1.059507E-05
1200	9.680147E-09	.4741045	.002016093	.001048444	1.885189E-06	.007961697	.5148316	2.520195E-05	4.623299E-10	1.059507E-05
1190	8.555907E-09	.4741469	.002034274	.001019775	1.814418E-06	.007244344	.5155189	2.35269E-05	4.198264E-10	1.041042E-05
1180	7.548666E-09	.474184	.002051971	9.91034E-04	1.744801E-06	.006577826	.5161613	2.193598E-05	3.806187E-10	1.022175E-05
1170	6.647916E-09	.4742156	.00206915	9.622711E-04	1.676402E-06	.005960125	.5167607	2.042699E-05	3.445087E-10	1.002942E-05
1160	5.843883E-09	.4742417	.002085769	9.335328E-04	1.609276E-06	.005389103	.5173194	1.899761E-05	3.113049E-10	9.833717E-06
1150	5.127508E-09	.4742623	.002101783	9.048632E-04	1.543467E-06	.004862534	.5178397	1.76454E-05	2.808223E-10	9.634952E-06
1140	4.490416E-09	.4742772	.002117142	8.763033E-04	1.479016E-06	.004378135	.5183239	1.636785E-05	2.528832E-10	9.433391E-06
1130	3.924887E-09	.4742864	.002131788	8.478914E-04	1.415954E-06	.003933594	.5187745	1.516237E-05	2.273172E-10	9.229284E-06
1120	3.423827E-09	.4742899	.002145659	8.19663E-04	1.354309E-06	.003526592	.5191938	1.402634E-05	2.039614E-10	9.022861E-06
1110	2.980728E-09	.4742877	.002158687	7.916508E-04	1.2941E-06	.00315483	.5195841	1.295711E-05	1.826607E-10	8.814331E-06
1100	2.58964E-09	.4742795	.002170795	7.638849E-04	1.235343E-06	.00281604	.519948	1.195202E-05	1.632674E-10	8.603885E-06
1090	2.245131E-09	.4742655	.002181902	7.363931E-04	1.178051E-06	.002508011	.5202877	1.100845E-05	1.456416E-10	8.391699E-06
1080	1.942257E-09	.4742454	.002191918	7.09201E-04	1.122231E-06	.002228594	.5206055	1.012377E-05	1.296509E-10	8.177937E-06
1070	1.676527E-09	.4742193	.002200748	6.823321E-04	1.06789E-06	.001975715	.5209036	9.295407E-06	1.151702E-10	7.962751E-06
1060	1.443869E-09	.4741869	.00220829	6.558082E-04	1.015028E-06	.001747384	.5211843	8.520812E-06	1.020816E-10	7.746285E-06
1050	1.240599E-09	.4741483	.002214434	6.296494E-04	9.636483E-07	.001541698	.5214496	7.797496E-06	9.027445E-11	7.528679E-06
1040	1.063392E-09	.4741033	.002219067	6.038748E-04	9.137488E-07	.001356851	.5217016	7.123025E-06	7.964463E-11	7.310069E-06
1030	9.092512E-10	.4740516	.002222068	5.78502E-04	8.65328E-07	.001191129	.5219422	6.495024E-06	7.00947E-11	7.090594E-06
1020	7.754834E-10	.4739933	.002223313	5.53548E-04	8.183833E-07	.001042917	.5221733	5.911182E-06	6.15335E-11	6.870399E-06
1010	6.596704E-10	.473928	.002222675	5.290292E-04	7.729114E-07	9.106959E-04	.5223968	5.369254E-06	5.387592E-11	6.649631E-06
1000	5.59647E-10	.4738556	.002220025	5.049612E-04	7.289089E-07	7.930412E-04	.5226143	4.867061E-06	4.704258E-11	6.428454E-06
990	4.734779E-10	.473776	.002215231	4.813594E-04	6.863724E-07	6.88623E-04	.5228275	4.402493E-06	4.095964E-11	6.207041E-06
980	3.994368E-10	.4736889	.002208166	4.582392E-04	6.452983E-07	5.962024E-04	.5230379	3.973509E-06	3.555845E-11	5.985583E-06
970	3.359875E-10	.473594	.002198706	4.356156E-04	6.056833E-07	5.146285E-04	.5232471	3.578133E-06	3.077534E-11	5.764291E-06
960	2.817652E-10	.4734913	.00218673	4.13504E-04	5.675241E-07	4.428349E-04	.5234564	3.214459E-06	2.655133E-11	5.543395E-06
950	2.355608E-10	.4733803	.00217213	3.919195E-04	5.308176E-07	3.798367E-04	.5236671	2.880644E-06	2.283188E-11	5.323151E-06
940	1.963049E-10	.473261	.002154807	3.708776E-04	4.955603E-07	3.247262E-04	.5238804	2.574912E-06	1.956666E-11	5.103837E-06
930	1.630544E-10	.473133	.002134677	3.503936E-04	4.617489E-07	2.76669E-04	.5240976	2.295546E-06	1.670929E-11	4.885757E-06
920	1.349794E-10	.4729963	.002111676	3.304828E-04	4.293793E-07	2.349006E-04	.5243195	2.040895E-06	1.421712E-11	4.669242E-06
910	1.113514E-10	.4728504	.00208576	3.111606E-04	3.984467E-07	1.987218E-04	.5245472	1.809364E-06	1.2051E-11	4.454644E-06
900	9.153281E-11	.4726955	.002056909	2.924419E-04	3.689452E-07	1.674952E-04	.5247815	1.599419E-06	1.017509E-11	4.242342E-06
890	7.496708E-11	.4725311	.002025129	2.743411E-04	3.408675E-07	1.406414E-04	.525023	1.409582E-06	8.556634E-12	4.032729E-06
880	6.116972E-11	.4723572	.001990456	2.568719E-04	3.14204E-07	1.176352E-04	.5252724	1.23843E-06	7.165782E-12	3.826218E-06
870	4.972032E-11	.4721738	.001952958	2.400469E-04	2.889433E-07	9.800212E-05	.5255302	1.084599E-06	5.97541E-12	3.62323E-06
860	4.025526E-11	.4719808	.001912731	2.238775E-04	2.650707E-07	8.131485E-05	.5257967	9.467752E-07	4.96094E-12	3.424191E-06
850	3.246103E-11	.4717781	.001869903	2.083733E-04	2.425686E-07	6.718995E-05	.5260721	8.237029E-07	4.100176E-12	3.229527E-06
840	2.606829E-11	.4715659	.001824634	1.935421E-04	2.214159E-07	5.528461E-05	.5263567	7.141798E-07	3.373144E-12	3.039652E-06
830	2.08465E-11	.4713442	.001777107	1.793893E-04	2.015877E-07	4.529361E-05	.5266504	6.170592E-07	2.761942E-12	2.854963E-06
820	1.659907E-11	.4711131	.001727534	1.659179E-04	1.83055E-07	3.694634E-05	.5269532	5.312501E-07	2.250589E-12	2.675835E-06
810	1.315902E-11	.4708728	.001676146	1.531282E-04	1.65785E-07	3.000392E-05	.5272648	4.557182E-07	1.824889E-12	2.50261E-06
800	1.038511E-11	.4706235	.001623191	1.410175E-04	1.497408E-07	2.425651E-05	.5275851	3.894865E-07	1.472287E-12	2.335592E-06
790	8.158392E-12	.4703656	.001568926	1.295804E-04	1.348817E-07	1.952067E-05	.5279137	3.31636E-07	1.181744E-12	2.175043E-06
780	6.379117E-12	.4700993	.001513617	1.188083E-04	1.211634E-07	1.563689E-05	.5282502	2.813064E-07	9.436004E-13	2.021178E-06
770	4.964032E-12	.4698249	.001457531	1.0869E-04	1.085387E-07	1.246717E-05	.5285942	2.376958E-07	7.494554E-13	1.87416E-06
760	3.843975E-12	.4695428	.00140093	9.921137E-05	9.695745E-08	9.892813E-06	.5289452	2.000613E-07	5.920459E-13	1.734104E-06
750	2.961763E-12	.4692533	.00134407	9.035588E-05	8.636745E-08	7.812271E-06	.5293026	1.677178E-07	5.307467E-13	1.601073E-06
740	2.270353E-12	.4689567	.001287195	8.210468E-05	7.671491E-08	6.139177E-06	.5296662	1.400372E-07	5.310433E-13	1.475079E-06
730	1.731239E-12	.4686535	.001230534	7.443695E-05	6.794505E-08	4.800496E-06	.5300352	1.16447E-07	5.313465E-13	1.356089E-06
720	1.313062E-12	.468344	.001174301	6.73302E-05	6.000266E-08	3.734827E-06	.5304092	9.64283E-08	5.31656E-13	1.244026E-06
720	1.313062E-12	.468344	.001174301	6.73302E-05	6.000266E-08	3.734827E-06	.5304092	9.64283E-08	5.31656E-13	1.244026E-06
710	9.904207E-13	.4680286	.001118693	6.076062E-05	5.283266E-08	2.89085E-06	.5307878	7.951337E-08	5.319714E-13	1.138772E-06
706.9259	9.071551E-13	.4679305	.001101751	5.884516E-05	5.077529E-08	2.669151E-06	.530905	7.48712E-08	5.320695E-13	1.107762E-06
706.9259	9.071551E-13	.4679305	.001101751	5.884516E-05	5.077529E-08	2.669151E-06	.530905	7.48712E-08	5.320695E-13	1.107762E-06
700	7.411051E-13	.4677581	.00106772	5.506712E-05	4.659147E-08	2.164389E-06	.5311158	6.579567E-08	5.322419E-13	9.879354E-07
690	5.506797E-13	.467504	.001018919	4.99287E-05	4.10397E-08	1.589897E-06	.5314247	5.43886E-08	5.32496E-13	8.360566E-07
680	5.327562E-13	.4672438	9.706589E-04	4.51535E-05	3.6032E-08	1.159757E-06	.5317384	4.475224E-08	5.327562E-13	7.060327E-07
670	5.330221E-13	.4669779	9.230862E-04	4.072835E-05	3.153076E-08	8.399616E-07	.5320568	3.664985E-08	5.330221E-13	5.948506E-07
660	5.332934E-13	.4667066	8.763297E-04	3.663914E-05	2.749888E-08	6.039114E-07	.5323793	2.986969E-08	5.332934E-13	4.999203E-07
650	5.335701E-13	.4664299	8.305025E-04	3.2871E-05	2.390012E-08	4.309529E-07	.5327058	2.422351E-08	5.335701E-13	4.190074E-07
640	5.338518E-13	.4661482	7.857028E-04	2.940853E-05	2.069932E-08	3.05173E-07	.533036	1.954491E-08	5.338518E-13	3.501795E-07
630	5.341386E-13	.4658615	7.420154E-04	2.623601E-05	1.78627E-08	2.144046E-07	.5333698	1.56877E-08	5.341386E-13	2.917623E-07
