
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=HM(FCC_A1#1), col-3=HM(BCC_A2), col-4=HM(HCP_A3#1), col-5=HM1, col-6=HM2,
   4.43659E-03   1.45204E+04   8.17250E+03   1.34173E+04  -6.34792E+03  -1.10309E+03
   4.33659E-03   1.45404E+04   8.16182E+03   1.34134E+04  -6.37863E+03  -1.12708E+03
   4.23659E-03   1.45605E+04   8.15113E+03   1.34093E+04  -6.40936E+03  -1.15116E+03
   4.13659E-03   1.45805E+04   8.14043E+03   1.34052E+04  -6.44012E+03  -1.17530E+03
   4.03659E-03   1.46006E+04   8.12972E+03   1.34011E+04  -6.47091E+03  -1.19952E+03
   3.93659E-03   1.46207E+04   8.11901E+03   1.33969E+04  -6.50172E+03  -1.22382E+03
   3.83659E-03   1.46409E+04   8.10830E+03   1.33927E+04  -6.53256E+03  -1.24819E+03
   3.73659E-03   1.46610E+04   8.09757E+03   1.33884E+04  -6.56343E+03  -1.27264E+03
   3.63659E-03   1.46812E+04   8.08684E+03   1.33840E+04  -6.59432E+03  -1.29717E+03
   3.53659E-03   1.47013E+04   8.07611E+03   1.33796E+04  -6.62524E+03  -1.32177E+03
   3.43659E-03   1.47216E+04   8.06537E+03   1.33751E+04  -6.65619E+03  -1.34645E+03
   3.33659E-03   1.47418E+04   8.05462E+03   1.33706E+04  -6.68716E+03  -1.37120E+03
   3.23659E-03   1.47620E+04   8.04386E+03   1.33660E+04  -6.71816E+03  -1.39603E+03
   3.13659E-03   1.47823E+04   8.03310E+03   1.33614E+04  -6.74919E+03  -1.42093E+03
   3.03659E-03   1.48026E+04   8.02233E+03   1.33567E+04  -6.78024E+03  -1.44592E+03
   2.93659E-03   1.48229E+04   8.01156E+03   1.33519E+04  -6.81132E+03  -1.47097E+03
   2.83659E-03   1.48432E+04   8.00078E+03   1.33471E+04  -6.84243E+03  -1.49611E+03
   2.73659E-03   1.48636E+04   7.98999E+03   1.33422E+04  -6.87356E+03  -1.52132E+03
   2.63659E-03   1.48839E+04   7.97920E+03   1.33373E+04  -6.90472E+03  -1.54661E+03
   2.53659E-03   1.49043E+04   7.96840E+03   1.33323E+04  -6.93591E+03  -1.57198E+03
   2.43659E-03   1.49247E+04   7.95759E+03   1.33273E+04  -6.96712E+03  -1.59742E+03
   2.33659E-03   1.49451E+04   7.94678E+03   1.33222E+04  -6.99836E+03  -1.62295E+03
   2.23659E-03   1.49656E+04   7.93596E+03   1.33170E+04  -7.02963E+03  -1.64855E+03
   2.13659E-03   1.49861E+04   7.92514E+03   1.33118E+04  -7.06092E+03  -1.67422E+03
   2.03659E-03   1.50065E+04   7.91430E+03   1.33066E+04  -7.09225E+03  -1.69998E+03
   1.93659E-03   1.50271E+04   7.90347E+03   1.33013E+04  -7.12359E+03  -1.72581E+03
   1.83659E-03   1.50476E+04   7.89262E+03   1.32959E+04  -7.15497E+03  -1.75172E+03
   1.73659E-03   1.50681E+04   7.88177E+03   1.32904E+04  -7.18637E+03  -1.77771E+03
   1.63659E-03   1.50887E+04   7.87091E+03   1.32849E+04  -7.21780E+03  -1.80377E+03
   1.53659E-03   1.51093E+04   7.86005E+03   1.32794E+04  -7.24926E+03  -1.82992E+03
   1.43659E-03   1.51299E+04   7.84918E+03   1.32738E+04  -7.28074E+03  -1.85614E+03
   1.33659E-03   1.51506E+04   7.83830E+03   1.32681E+04  -7.31225E+03  -1.88245E+03
   1.23659E-03   1.51712E+04   7.82742E+03   1.32624E+04  -7.34379E+03  -1.90883E+03
   1.13659E-03   1.51919E+04   7.81653E+03   1.32566E+04  -7.37535E+03  -1.93529E+03
   1.03659E-03   1.52126E+04   7.80563E+03   1.32507E+04  -7.40694E+03  -1.96182E+03
   9.36589E-04   1.52333E+04   7.79473E+03   1.32448E+04  -7.43856E+03  -1.98844E+03
   8.36589E-04   1.52540E+04   7.78382E+03   1.32389E+04  -7.47021E+03  -2.01514E+03
   7.36589E-04   1.52748E+04   7.77290E+03   1.32329E+04  -7.50188E+03  -2.04191E+03
   6.36589E-04   1.52956E+04   7.76198E+03   1.32268E+04  -7.53358E+03  -2.06877E+03
   5.36589E-04   1.53164E+04   7.75105E+03   1.32207E+04  -7.56531E+03  -2.09570E+03
   4.36589E-04   1.53372E+04   7.74012E+03   1.32145E+04  -7.59706E+03  -2.12272E+03
   3.36589E-04   1.53580E+04   7.72918E+03   1.32082E+04  -7.62884E+03  -2.14981E+03
   2.36589E-04   1.53789E+04   7.71823E+03   1.32019E+04  -7.66065E+03  -2.17699E+03
   1.36589E-04   1.53998E+04   7.70727E+03   1.31955E+04  -7.69249E+03  -2.20424E+03
   3.65889E-05   1.54207E+04   7.69631E+03   1.31891E+04  -7.72435E+03  -2.23158E+03
   1.10000E-05   1.54260E+04   7.69350E+03   1.31874E+04  -7.73251E+03  -2.23858E+03
