
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=GM(FCC_A1#1), col-3=GM(BCC_A2), col-4=GM(HCP_A3#1), col-5=GM1, col-6=GM2,
   4.63659E-03  -1.61330E+04  -1.83736E+04  -1.56573E+04  -2.24062E+03   4.75638E+02
   4.53659E-03  -1.61160E+04  -1.83738E+04  -1.56452E+04  -2.25774E+03   4.70854E+02
   4.43659E-03  -1.60990E+04  -1.83739E+04  -1.56330E+04  -2.27489E+03   4.66046E+02
   4.33659E-03  -1.60820E+04  -1.83740E+04  -1.56208E+04  -2.29205E+03   4.61214E+02
   4.23659E-03  -1.60649E+04  -1.83741E+04  -1.56085E+04  -2.30923E+03   4.56356E+02
   4.13659E-03  -1.60477E+04  -1.83741E+04  -1.55962E+04  -2.32644E+03   4.51475E+02
   4.03659E-03  -1.60304E+04  -1.83741E+04  -1.55839E+04  -2.34366E+03   4.46568E+02
   3.93659E-03  -1.60131E+04  -1.83740E+04  -1.55715E+04  -2.36090E+03   4.41637E+02
   3.83659E-03  -1.59957E+04  -1.83739E+04  -1.55590E+04  -2.37816E+03   4.36681E+02
   3.73659E-03  -1.59783E+04  -1.83737E+04  -1.55466E+04  -2.39543E+03   4.31700E+02
   3.63659E-03  -1.59608E+04  -1.83735E+04  -1.55341E+04  -2.41273E+03   4.26694E+02
   3.53659E-03  -1.59432E+04  -1.83732E+04  -1.55215E+04  -2.43005E+03   4.21664E+02
   3.43659E-03  -1.59255E+04  -1.83729E+04  -1.55089E+04  -2.44738E+03   4.16608E+02
   3.33659E-03  -1.59078E+04  -1.83725E+04  -1.54962E+04  -2.46474E+03   4.11528E+02
   3.23659E-03  -1.58899E+04  -1.83720E+04  -1.54835E+04  -2.48211E+03   4.06422E+02
   3.13659E-03  -1.58720E+04  -1.83715E+04  -1.54708E+04  -2.49950E+03   4.01292E+02
   3.03659E-03  -1.58541E+04  -1.83710E+04  -1.54579E+04  -2.51691E+03   3.96136E+02
   2.93659E-03  -1.58360E+04  -1.83704E+04  -1.54451E+04  -2.53435E+03   3.90955E+02
   2.83659E-03  -1.58179E+04  -1.83697E+04  -1.54321E+04  -2.55180E+03   3.85749E+02
   2.73659E-03  -1.57996E+04  -1.83689E+04  -1.54191E+04  -2.56926E+03   3.80518E+02
   2.63659E-03  -1.57813E+04  -1.83681E+04  -1.54061E+04  -2.58675E+03   3.75261E+02
   2.53659E-03  -1.57629E+04  -1.83672E+04  -1.53929E+04  -2.60426E+03   3.69979E+02
   2.43659E-03  -1.57444E+04  -1.83662E+04  -1.53797E+04  -2.62179E+03   3.64672E+02
   2.33659E-03  -1.57258E+04  -1.83651E+04  -1.53665E+04  -2.63933E+03   3.59340E+02
   2.23659E-03  -1.57071E+04  -1.83640E+04  -1.53531E+04  -2.65690E+03   3.53981E+02
   2.13659E-03  -1.56883E+04  -1.83628E+04  -1.53397E+04  -2.67448E+03   3.48598E+02
   2.03659E-03  -1.56694E+04  -1.83615E+04  -1.53262E+04  -2.69209E+03   3.43189E+02
   1.93659E-03  -1.56503E+04  -1.83601E+04  -1.53126E+04  -2.70971E+03   3.37754E+02
   1.83659E-03  -1.56312E+04  -1.83585E+04  -1.52989E+04  -2.72735E+03   3.32294E+02
   1.73659E-03  -1.56119E+04  -1.83569E+04  -1.52851E+04  -2.74501E+03   3.26808E+02
   1.63659E-03  -1.55925E+04  -1.83552E+04  -1.52712E+04  -2.76269E+03   3.21296E+02
   1.53659E-03  -1.55730E+04  -1.83534E+04  -1.52572E+04  -2.78039E+03   3.15758E+02
   1.43659E-03  -1.55533E+04  -1.83514E+04  -1.52431E+04  -2.79811E+03   3.10195E+02
   1.33659E-03  -1.55335E+04  -1.83493E+04  -1.52288E+04  -2.81585E+03   3.04606E+02
   1.23659E-03  -1.55135E+04  -1.83471E+04  -1.52145E+04  -2.83361E+03   2.98991E+02
   1.13659E-03  -1.54933E+04  -1.83447E+04  -1.51999E+04  -2.85139E+03   2.93350E+02
   1.03659E-03  -1.54729E+04  -1.83421E+04  -1.51852E+04  -2.86919E+03   2.87683E+02
