W(CR)	 HM(FCC_A1#1)
.1545435	16592.43
.1535435	16586.26
.1525435	16580.08
.1515435	16573.88
.1505435	16567.66
.1495435	16561.42
.1485435	16555.17
.1475435	16548.89
.1465435	16542.6
.1455435	16536.28
.1445435	16529.95
.1435435	16523.6
.1425435	16517.24
.1415435	16510.85
.1405435	16504.45
.1395435	16498.02
.1385435	16491.58
.1375435	16485.12
.1365435	16478.65
.1355435	16472.15
.1345435	16465.64
.1335435	16459.1
.1325435	16452.55
.1315435	16445.98
.1305435	16439.4
.1295435	16432.79
.1285435	16426.17
.1275435	16419.52
.1265435	16412.86
.1255435	16406.19
.1245435	16399.49
.1235435	16392.77
.1225435	16386.04
.1215435	16379.29
.1205435	16372.52
.1195435	16365.73
.1185435	16358.93
.1175435	16352.1
.1165435	16345.26
.1155435	16338.4
.1145435	16331.52
.1135435	16324.63
.1125435	16317.71
.1115435	16310.78
.1105435	16303.83
.1095435	16296.86
.1085435	16289.88
.1075435	16282.87
.1065435	16275.85
.1055435	16268.81
.1045435	16261.75
.1035435	16254.68
.1025435	16247.58
.1015435	16240.47
.1005435	16233.34
.09954353	16226.19
.09854353	16219.03
.09754353	16211.84
.09654353	16204.64
.09554353	16197.42
.09454353	16190.19
.09354353	16182.93
.09254353	16175.66
.09154353	16168.37
.09054353	16161.06
.08954353	16153.74
.08854353	16146.39
.08754353	16139.03
.08654353	16131.65
.08554353	16124.26
.08454353	16116.84
.08354353	16109.41
.08254353	16101.96
.08154353	16094.49
.08054353	16087.01
.07954353	16079.51
.07854353	16071.99
.07754353	16064.45
.07654353	16056.89
.07554353	16049.32
.07454353	16041.73
.07354353	16034.12
.07254353	16026.5
.07154353	16018.85
.07054353	16011.19
.06954353	16003.51
.06854353	15995.82
.06754353	15988.11
.06654353	15980.38
.06554353	15972.63
.06454353	15964.86
.06354353	15957.08
.06254353	15949.28
.06154353	15941.46
.06054353	15933.63
.05954353	15925.77
.05854353	15917.91
.05754353	15910.02
.05654353	15902.11
.05554353	15894.19
.05454353	15886.25
.05354353	15878.3
.05254353	15870.32
.05154353	15862.33
.05054353	15854.32
.04954353	15846.3
.04854353	15838.26
.04754353	15830.2
.04654353	15822.12
.04554353	15814.03
.04454353	15805.91
.04354353	15797.79
.04254353	15789.64
.04154353	15781.48
.04054353	15773.3
.03954353	15765.1
.03854353	15756.89
.03754353	15748.66
.03654353	15740.41
.03554353	15732.14
.03454353	15723.86
.03354353	15715.56
.03254353	15707.24
.03154353	15698.91
.03054353	15690.56
.02954353	15682.19
.02854353	15673.81
.02754353	15665.41
.02654353	15656.99
.02554353	15648.56
.02454353	15640.1
.02354353	15631.64
.02254353	15623.15
.02154353	15614.65
.02054353	15606.13
.01954353	15597.59
.01854353	15589.04
.01754353	15580.47
.01654353	15571.88
.01554353	15563.28
.01454353	15554.66
.01354353	15546.02
.01254353	15537.37
.01154353	15528.7
.01054353	15520.01
.009543527	15511.31
.008543527	15502.59
.007543527	15493.85
.006543527	15485.1
.005543527	15476.33
.004543527	15467.54
.003543527	15458.74
.002543527	15449.92
.001543527	15441.08
5.435269E-04	15432.23
1.1E-04	15428.38
